eng_A,jpn_A,math_A,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C)
93,89,69,47,60,46,50,80,81,,,93,69,89,47,46,60,50,81,80
81,62,53,100,100,74,68,70,45,,,81,53,62,116,74,100,68,45,70
56,62,41,96,100,58,56,90,68,,,56,41,62,96,58,100,56,68,90
58,75,59,56,70,51,41,60,70,,,58,59,75,56,51,70,41,70,60
98,86,56,92,100,66,16,40,33,,,98,56,86,92,66,120,16,33,40
94,85,56,60,70,70,81,90,34,,,94,56,85,60,70,70,81,34,90
50,64,84,99,100,55,67,70,74,,,50,84,64,99,55,120,67,74,70
59,22,58,67,80,99,41,60,52,,,59,58,22,67,99,80,41,52,60
43,38,53,27,40,10,66,80,70,,,43,53,38,27,10,40,66,70,80
73,77,69,23,30,40,24,40,62,,,73,69,77,23,40,30,24,62,40
72,86,68,66,90,53,58,80,30,,,72,68,86,66,53,90,58,30,80
50,29,79,100,100,45,59,80,63,,,50,79,29,107,45,110,59,63,80
79,92,70,88,100,85,28,50,60,,,79,70,92,88,85,100,28,60,50
78,57,52,24,40,50,70,80,53,,,78,52,57,24,50,40,70,53,80
31,74,49,65,90,82,24,20,8,,,31,49,74,65,82,90,24,8,20
51,39,27,81,90,43,72,90,57,,,51,27,39,81,43,90,72,57,90
73,64,67,46,60,61,55,70,55,,,73,67,64,46,61,60,55,55,70
59,71,79,48,60,52,100,100,27,,,59,79,71,48,52,60,105,27,110
51,28,51,55,80,93,19,40,74,,,51,51,28,55,93,80,19,74,40
56,52,24,49,50,100,72,90,59,,,56,24,52,49,121,50,72,59,90
45,100,64,70,90,41,37,50,60,,,45,64,108,70,41,90,37,60,50
81,76,45,50,70,80,52,80,89,,,81,45,76,50,80,70,52,89,80
11,18,35,46,70,60,92,100,45,,,11,35,18,46,60,70,92,45,100
70,73,50,54,50,37,51,60,49,,,70,50,73,54,37,50,51,49,60
30,39,30,35,40,77,68,60,64,,,30,30,39,35,77,40,68,64,60
54,22,69,43,70,38,36,40,54,,,54,69,22,43,38,70,36,54,40
65,62,44,36,50,48,84,100,72,,,65,44,62,36,48,50,84,72,100
80,100,66,61,70,51,100,100,97,,,80,66,103,61,51,70,129,97,110
78,49,58,51,70,55,41,60,67,,,78,58,49,51,55,70,41,67,60
58,77,76,61,60,71,55,60,11,,,58,76,77,61,71,60,55,11,60
73,68,86,32,60,36,100,100,62,,,73,86,68,32,36,60,102,62,100
34,54,66,17,50,67,65,100,53,,,34,66,54,17,67,50,65,53,100
85,80,69,78,100,74,54,60,78,,,85,69,80,78,74,110,54,78,60
38,36,59,17,30,62,72,100,37,,,38,59,36,17,62,30,72,37,110
95,56,44,50,70,31,43,50,55,,,95,44,56,50,31,70,43,55,50
