class_n,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
2,55,38,47,,,,,,,,,,,,,,,,,,,,
2,75,85,53,,,,,,,,,,,,,,,,,,,,
2,84,63,97,,,,,,,,,,,,,,,,,,,,
2,96,73,55,,,,,,,,,,,,,,,,,,,,
2,51,38,45,,,,,,,,,,,,,,,,,,,,
2,62,43,44,,,,,,,,,,,,,,,,,,,,
2,84,67,68,,,,,,,,,,,,,,,,,,,,
2,54,46,64,,,,,,,,,,,,,,,,,,,,
2,55,22,31,,,,,,,,,,,,,,,,,,,,
2,54,46,56,,,,,,,,,,,,,,,,,,,,
2,50,35,50,,,,,,,,,,,,,,,,,,,,
2,86,59,54,,,,,,,,,,,,,,,,,,,,
2,69,29,88,,,,,,,,,,,,,,,,,,,,
2,76,52,65,,,,,,,,,,,,,,,,,,,,
2,78,89,76,,,,,,,,,,,,,,,,,,,,
2,62,47,65,,,,,,,,,,,,,,,,,,,,
2,76,77,63,,,,,,,,,,,,,,,,,,,,
2,51,34,30,,,,,,,,,,,,,,,,,,,,
2,77,58,60,,,,,,,,,,,,,,,,,,,,
2,38,26,73,,,,,,,,,,,,,,,,,,,,
2,83,61,40,,,,,,,,,,,,,,,,,,,,
2,41,28,100,,,,,,,,,,,,,,,,,,,,
2,48,40,49,,,,,,,,,,,,,,,,,,,,
2,74,54,97,,,,,,,,,,,,,,,,,,,,
2,41,25,64,,,,,,,,,,,,,,,,,,,,
2,25,2,92,,,,,,,,,,,,,,,,,,,,
2,69,35,62,,,,,,,,,,,,,,,,,,,,
2,48,23,60,,,,,,,,,,,,,,,,,,,,
2,34,20,47,,,,,,,,,,,,,,,,,,,,
2,61,30,41,,,,,,,,,,,,,,,,,,,,
2,100,79,34,,,,,,,,,,,,,,,,,,,,
2,62,50,47,,,,,,,,,,,,,,,,,,,,
2,87,63,35,,,,,,,,,,,,,,,,,,,,
2,80,75,67,,,,,,,,,,,,,,,,,,,,
2,96,79,50,,,,,,,,,,,,,,,,,,,,
2,71,60,13,,,,,,,,,,,,,,,,,,,,
2,55,23,41,,,,,,,,,,,,,,,,,,,,
2,31,0,36,,,,,,,,,,,,,,,,,,,,
2,71,31,95,,,,,,,,,,,,,,,,,,,,
2,82,47,51,,,,,,,,,,,,,,,,,,,,
2,60,38,76,,,,,,,,,,,,,,,,,,,,
2,65,53,43,,,,,,,,,,,,,,,,,,,,
2,55,40,59,,,,,,,,,,,,,,,,,,,,
2,42,31,72,,,,,,,,,,,,,,,,,,,,
2,34,21,94,,,,,,,,,,,,,,,,,,,,
2,57,29,98,,,,,,,,,,,,,,,,,,,,
2,17,1,91,,,,,,,,,,,,,,,,,,,,
2,41,24,26,,,,,,,,,,,,,,,,,,,,
2,61,52,15,,,,,,,,,,,,,,,,,,,,
2,35,14,94,,,,,,,,,,,,,,,,,,,,
2,81,57,38,,,,,,,,,,,,,,,,,,,,
2,56,49,27,,,,,,,,,,,,,,,,,,,,
2,85,69,63,,,,,,,,,,,,,,,,,,,,
2,41,30,61,,,,,,,,,,,,,,,,,,,,
2,59,48,67,,,,,,,,,,,,,,,,,,,,
2,64,54,87,,,,,,,,,,,,,,,,,,,,
2,24,12,57,,,,,,,,,,,,,,,,,,,,
2,100,78,58,,,,,,,,,,,,,,,,,,,,
2,57,36,33,,,,,,,,,,,,,,,,,,,,
2,83,67,12,,,,,,,,,,,,,,,,,,,,
2,69,54,63,,,,,,,,,,,,,,,,,,,,
2,61,55,62,,,,,,,,,,,,,,,,,,,,
2,100,89,46,,,,,,,,,,,,,,,,,,,,
2,65,47,89,,,,,,,,,,,,,,,,,,,,
2,68,38,52,,,,,,,,,,,,,,,,,,,,
2,49,43,70,,,,,,,,,,,,,,,,,,,,
2,39,4,40,,,,,,,,,,,,,,,,,,,,
2,45,30,57,,,,,,,,,,,,,,,,,,,,
2,82,52,73,,,,,,,,,,,,,,,,,,,,
2,55,42,33,,,,,,,,,,,,,,,,,,,,
2,66,48,54,,,,,,,,,,,,,,,,,,,,
2,72,58,77,,,,,,,,,,,,,,,,,,,,
2,8,6,67,,,,,,,,,,,,,,,,,,,,
2,66,46,63,,,,,,,,,,,,,,,,,,,,
2,50,42,33,,,,,,,,,,,,,,,,,,,,
2,53,31,27,,,,,,,,,,,,,,,,,,,,
2,47,26,48,,,,,,,,,,,,,,,,,,,,
2,58,39,49,,,,,,,,,,,,,,,,,,,,
2,30,12,62,,,,,,,,,,,,,,,,,,,,
2,65,33,57,,,,,,,,,,,,,,,,,,,,
2,48,37,96,,,,,,,,,,,,,,,,,,,,
2,65,48,80,,,,,,,,,,,,,,,,,,,,
2,33,21,100,,,,,,,,,,,,,,,,,,,,
2,61,38,51,,,,,,,,,,,,,,,,,,,,
2,61,50,58,,,,,,,,,,,,,,,,,,,,
2,84,59,78,,,,,,,,,,,,,,,,,,,,
2,51,19,49,,,,,,,,,,,,,,,,,,,,
2,54,48,64,,,,,,,,,,,,,,,,,,,,
2,55,30,83,,,,,,,,,,,,,,,,,,,,
2,52,34,77,,,,,,,,,,,,,,,,,,,,
2,45,31,6,,,,,,,,,,,,,,,,,,,,
2,77,42,83,,,,,,,,,,,,,,,,,,,,
2,55,32,72,,,,,,,,,,,,,,,,,,,,
3,74,66,74,,,,,,,,,,,,,,,,,,,,
3,54,47,100,,,,,,,,,,,,,,,,,,,,
3,56,44,49,,,,,,,,,,,,,,,,,,,,
3,34,0,24,,,,,,,,,,,,,,,,,,,,
3,50,32,37,,,,,,,,,,,,,,,,,,,,
3,80,51,45,,,,,,,,,,,,,,,,,,,,
3,51,27,29,,,,,,,,,,,,,,,,,,,,
3,0,0,80,,,,,,,,,,,,,,,,,,,,
3,85,44,41,,,,,,,,,,,,,,,,,,,,
3,56,43,89,,,,,,,,,,,,,,,,,,,,
3,69,57,86,,,,,,,,,,,,,,,,,,,,
3,42,29,58,,,,,,,,,,,,,,,,,,,,
3,55,34,86,,,,,,,,,,,,,,,,,,,,
3,71,59,95,,,,,,,,,,,,,,,,,,,,
3,45,16,87,,,,,,,,,,,,,,,,,,,,
3,78,82,73,,,,,,,,,,,,,,,,,,,,
3,63,39,44,,,,,,,,,,,,,,,,,,,,
3,75,47,51,,,,,,,,,,,,,,,,,,,,
3,100,79,54,,,,,,,,,,,,,,,,,,,,
3,67,50,52,,,,,,,,,,,,,,,,,,,,
3,39,29,72,,,,,,,,,,,,,,,,,,,,
3,68,53,57,,,,,,,,,,,,,,,,,,,,
3,72,57,77,,,,,,,,,,,,,,,,,,,,
3,78,60,54,,,,,,,,,,,,,,,,,,,,
3,68,41,74,,,,,,,,,,,,,,,,,,,,
3,73,44,48,,,,,,,,,,,,,,,,,,,,
3,46,40,55,,,,,,,,,,,,,,,,,,,,
3,39,13,46,,,,,,,,,,,,,,,,,,,,
3,16,0,41,,,,,,,,,,,,,,,,,,,,
3,61,41,78,,,,,,,,,,,,,,,,,,,,
3,36,16,73,,,,,,,,,,,,,,,,,,,,
3,88,75,98,,,,,,,,,,,,,,,,,,,,
3,77,59,37,,,,,,,,,,,,,,,,,,,,
3,24,14,78,,,,,,,,,,,,,,,,,,,,
3,92,43,85,,,,,,,,,,,,,,,,,,,,
3,43,34,100,,,,,,,,,,,,,,,,,,,,
3,39,16,60,,,,,,,,,,,,,,,,,,,,
3,53,33,57,,,,,,,,,,,,,,,,,,,,
3,99,34,77,,,,,,,,,,,,,,,,,,,,
3,56,34,52,,,,,,,,,,,,,,,,,,,,
3,73,65,57,,,,,,,,,,,,,,,,,,,,
3,62,39,19,,,,,,,,,,,,,,,,,,,,
3,57,35,83,,,,,,,,,,,,,,,,,,,,
3,52,34,40,,,,,,,,,,,,,,,,,,,,
3,100,54,28,,,,,,,,,,,,,,,,,,,,
3,100,72,76,,,,,,,,,,,,,,,,,,,,
3,90,50,77,,,,,,,,,,,,,,,,,,,,
3,49,35,87,,,,,,,,,,,,,,,,,,,,
3,71,39,27,,,,,,,,,,,,,,,,,,,,
3,35,20,64,,,,,,,,,,,,,,,,,,,,
3,29,9,42,,,,,,,,,,,,,,,,,,,,
3,34,22,74,,,,,,,,,,,,,,,,,,,,
3,68,38,46,,,,,,,,,,,,,,,,,,,,
3,58,31,63,,,,,,,,,,,,,,,,,,,,
3,67,53,61,,,,,,,,,,,,,,,,,,,,
3,66,41,55,,,,,,,,,,,,,,,,,,,,
3,61,44,71,,,,,,,,,,,,,,,,,,,,
3,89,55,34,,,,,,,,,,,,,,,,,,,,
3,29,7,72,,,,,,,,,,,,,,,,,,,,
3,83,61,58,,,,,,,,,,,,,,,,,,,,
3,44,30,31,,,,,,,,,,,,,,,,,,,,
3,83,42,44,,,,,,,,,,,,,,,,,,,,
3,90,81,60,,,,,,,,,,,,,,,,,,,,
3,100,63,42,,,,,,,,,,,,,,,,,,,,
3,46,25,26,,,,,,,,,,,,,,,,,,,,
3,82,67,80,,,,,,,,,,,,,,,,,,,,
3,42,31,65,,,,,,,,,,,,,,,,,,,,
3,54,35,67,,,,,,,,,,,,,,,,,,,,
3,59,35,68,,,,,,,,,,,,,,,,,,,,
3,62,37,15,,,,,,,,,,,,,,,,,,,,
3,63,38,99,,,,,,,,,,,,,,,,,,,,
3,74,47,56,,,,,,,,,,,,,,,,,,,,
3,82,53,67,,,,,,,,,,,,,,,,,,,,
3,43,30,38,,,,,,,,,,,,,,,,,,,,
3,84,43,42,,,,,,,,,,,,,,,,,,,,
3,97,83,42,,,,,,,,,,,,,,,,,,,,
3,82,61,51,,,,,,,,,,,,,,,,,,,,
3,47,40,68,,,,,,,,,,,,,,,,,,,,
3,62,30,54,,,,,,,,,,,,,,,,,,,,
3,84,51,92,,,,,,,,,,,,,,,,,,,,
3,63,48,74,,,,,,,,,,,,,,,,,,,,
3,66,50,56,,,,,,,,,,,,,,,,,,,,
3,71,37,62,,,,,,,,,,,,,,,,,,,,
3,63,46,29,,,,,,,,,,,,,,,,,,,,
3,64,35,71,,,,,,,,,,,,,,,,,,,,
3,82,69,56,,,,,,,,,,,,,,,,,,,,
3,64,40,65,,,,,,,,,,,,,,,,,,,,
3,53,42,39,,,,,,,,,,,,,,,,,,,,
3,71,54,93,,,,,,,,,,,,,,,,,,,,
3,55,35,69,,,,,,,,,,,,,,,,,,,,
3,82,75,70,,,,,,,,,,,,,,,,,,,,
3,61,38,57,,,,,,,,,,,,,,,,,,,,
3,30,14,55,,,,,,,,,,,,,,,,,,,,
3,41,18,60,,,,,,,,,,,,,,,,,,,,
3,86,40,73,,,,,,,,,,,,,,,,,,,,
3,33,32,34,,,,,,,,,,,,,,,,,,,,
3,66,67,57,,,,,,,,,,,,,,,,,,,,
3,75,36,57,,,,,,,,,,,,,,,,,,,,
3,35,0,40,,,,,,,,,,,,,,,,,,,,
3,25,17,78,,,,,,,,,,,,,,,,,,,,
