class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
1,72,87,56,58,53,99,,,,,,72,56,87,65,41,46,41,64,32,58,53,99
1,51,79,57,73,67,58,,,,,,51,57,79,52,32,42,115,78,69,73,67,58
1,85,92,86,66,86,100,,,,,,85,86,92,84,51,62,70,82,39,66,86,102
1,43,64,56,76,88,86,,,,,,43,56,64,55,77,40,64,68,20,76,88,86
1,100,84,80,70,61,55,,,,,,114,80,84,51,19,27,64,73,40,70,61,55
1,50,50,74,76,45,66,,,,,,50,74,50,59,37,27,62,68,49,76,45,66
1,46,25,56,65,47,61,,,,,,46,56,25,50,78,48,69,70,48,65,47,61
1,73,69,47,80,47,71,,,,,,73,47,69,50,49,23,58,34,29,80,47,71
1,86,100,54,66,38,70,,,,,,86,54,100,58,58,36,68,77,37,66,38,70
1,89,98,67,63,22,42,,,,,,89,67,98,35,51,6,80,88,55,63,22,42
1,88,85,77,70,58,49,,,,,,88,77,85,36,32,15,54,91,39,70,58,49
1,62,57,51,97,47,46,,,,,,62,51,57,26,58,-14,45,49,18,97,47,46
1,44,48,61,100,91,83,,,,,,44,61,48,63,90,38,66,63,48,116,91,83
1,89,86,77,67,44,97,,,,,,89,77,86,82,53,61,30,43,13,67,44,97
1,61,90,90,68,58,100,,,,,,61,90,90,81,53,63,69,72,46,68,58,100
1,38,81,66,48,100,97,,,,,,38,66,81,71,57,39,28,108,11,48,105,97
1,29,6,62,100,76,85,,,,,,29,62,6,65,56,68,91,53,60,100,76,85
1,100,100,28,75,78,55,,,,,,100,28,111,39,32,24,58,77,31,75,78,55
1,44,63,71,100,88,89,,,,,,44,71,63,70,49,46,47,65,19,102,88,89
1,72,86,60,64,5,63,,,,,,72,60,86,39,73,15,44,46,30,64,5,63
1,63,74,36,98,66,74,,,,,,63,36,74,75,73,50,47,36,32,98,66,74
1,14,58,85,73,67,62,,,,,,14,85,58,36,60,7,30,50,3,73,67,62
1,30,75,38,80,53,93,,,,,,30,38,75,80,32,63,94,35,61,80,53,93
1,34,31,89,45,40,59,,,,,,34,89,31,72,73,62,71,56,39,45,40,59
1,78,97,71,100,15,38,,,,,,78,71,97,20,76,22,51,45,35,104,15,38
1,48,48,68,66,64,52,,,,,,48,68,48,36,35,36,48,69,24,66,64,52
1,54,76,69,83,40,90,,,,,,54,69,76,66,51,47,76,86,41,83,40,90
1,49,39,24,69,75,25,,,,,,49,24,39,16,96,-9,88,39,52,69,75,25
1,43,76,76,90,38,90,,,,,,43,76,76,70,19,40,59,50,55,90,38,90
1,58,50,24,82,47,67,,,,,,58,24,50,33,67,32,80,11,58,82,47,67
1,69,68,20,73,50,80,,,,,,69,20,68,58,86,37,39,48,14,73,50,80
1,100,100,70,71,23,78,,,,,,101,70,100,45,55,34,38,79,38,71,23,78
1,92,68,76,85,95,47,,,,,,92,76,68,26,43,20,49,102,29,85,95,47
1,60,61,61,78,36,54,,,,,,60,61,61,48,76,42,67,68,43,78,36,54
1,33,47,76,67,80,85,,,,,,33,76,47,79,98,56,60,90,42,67,80,85
1,53,57,55,80,85,52,,,,,,53,55,57,33,72,14,115,60,75,80,85,52
1,100,91,46,67,54,61,,,,,,106,46,91,52,100,48,72,79,47,67,54,61
1,87,74,55,56,99,35,,,,,,87,55,74,29,53,34,57,61,32,56,99,35
1,78,84,68,50,87,82,,,,,,78,68,84,70,45,38,53,53,47,50,87,82
1,95,85,52,67,36,62,,,,,,95,52,85,41,63,27,45,46,30,67,36,62
1,35,33,100,56,100,61,,,,,,35,113,33,56,91,26,86,41,65,56,111,61
1,88,100,52,77,88,53,,,,,,88,52,113,35,68,7,37,35,23,77,88,53
1,35,27,80,62,65,30,,,,,,35,80,27,19,67,8,51,55,32,62,65,30
1,73,84,100,73,65,70,,,,,,73,100,84,63,79,38,74,56,42,73,65,70
1,55,45,64,57,57,100,,,,,,55,64,45,77,57,74,90,68,61,57,57,109
1,73,100,64,48,59,75,,,,,,73,64,108,57,86,37,69,45,48,48,59,75
1,36,17,86,84,48,58,,,,,,36,86,17,35,72,26,43,65,22,84,48,58
1,43,21,46,42,48,100,,,,,,43,46,21,90,38,98,58,80,37,42,48,109
1,77,100,82,60,79,66,,,,,,77,82,120,59,82,45,60,46,39,60,79,66
1,75,100,95,74,69,53,,,,,,75,95,100,33,61,26,83,45,64,74,69,53
1,75,70,32,72,90,68,,,,,,75,32,70,61,87,46,58,60,41,72,90,68
1,96,69,67,43,93,73,,,,,,96,67,69,50,87,37,55,49,24,43,93,73
1,51,85,97,71,85,31,,,,,,51,97,85,36,83,14,70,44,58,71,85,31
1,52,60,61,63,61,75,,,,,,52,61,60,66,76,42,84,33,55,63,61,75
1,76,70,58,98,24,33,,,,,,76,58,70,8,61,1,34,71,12,98,24,33
1,37,36,85,57,90,100,,,,,,37,85,36,98,87,67,56,64,45,57,90,106
1,41,59,0,53,70,32,,,,,,41,-4,59,24,67,14,66,54,19,53,70,32
1,42,41,44,28,44,100,,,,,,42,44,41,90,56,69,51,67,44,28,44,111
1,63,93,57,84,86,79,,,,,,63,57,93,52,87,40,87,40,71,84,86,79
1,91,80,68,55,56,39,,,,,,91,68,80,32,46,14,36,55,8,55,56,39
1,56,66,46,53,44,81,,,,,,56,46,66,60,64,54,63,56,26,53,44,81
1,60,90,57,83,64,48,,,,,,60,57,90,56,57,33,49,86,44,83,64,48
2,64,39,57,,,,,,,,,,,,,,,,,,,,
2,66,44,67,,,,,,,,,,,,,,,,,,,,
2,50,26,61,,,,,,,,,,,,,,,,,,,,
2,47,25,82,,,,,,,,,,,,,,,,,,,,
2,83,52,55,,,,,,,,,,,,,,,,,,,,
2,76,57,27,,,,,,,,,,,,,,,,,,,,
2,67,42,49,,,,,,,,,,,,,,,,,,,,
2,71,51,52,,,,,,,,,,,,,,,,,,,,
2,73,57,50,,,,,,,,,,,,,,,,,,,,
2,73,64,68,,,,,,,,,,,,,,,,,,,,
2,48,35,52,,,,,,,,,,,,,,,,,,,,
2,62,51,73,,,,,,,,,,,,,,,,,,,,
2,41,16,39,,,,,,,,,,,,,,,,,,,,
2,59,40,50,,,,,,,,,,,,,,,,,,,,
2,93,94,49,,,,,,,,,,,,,,,,,,,,
2,82,54,84,,,,,,,,,,,,,,,,,,,,
2,53,42,61,,,,,,,,,,,,,,,,,,,,
2,83,61,75,,,,,,,,,,,,,,,,,,,,
2,43,29,49,,,,,,,,,,,,,,,,,,,,
2,45,33,52,,,,,,,,,,,,,,,,,,,,
2,56,40,90,,,,,,,,,,,,,,,,,,,,
2,83,70,43,,,,,,,,,,,,,,,,,,,,
2,70,52,62,,,,,,,,,,,,,,,,,,,,
2,88,69,43,,,,,,,,,,,,,,,,,,,,
2,91,55,50,,,,,,,,,,,,,,,,,,,,
2,44,20,36,,,,,,,,,,,,,,,,,,,,
2,99,79,22,,,,,,,,,,,,,,,,,,,,
2,70,53,26,,,,,,,,,,,,,,,,,,,,
2,55,39,61,,,,,,,,,,,,,,,,,,,,
2,97,83,74,,,,,,,,,,,,,,,,,,,,
2,64,38,58,,,,,,,,,,,,,,,,,,,,
2,53,45,65,,,,,,,,,,,,,,,,,,,,
2,74,42,77,,,,,,,,,,,,,,,,,,,,
2,59,42,53,,,,,,,,,,,,,,,,,,,,
2,41,34,79,,,,,,,,,,,,,,,,,,,,
2,82,70,79,,,,,,,,,,,,,,,,,,,,
2,54,30,56,,,,,,,,,,,,,,,,,,,,
2,80,75,59,,,,,,,,,,,,,,,,,,,,
2,65,46,41,,,,,,,,,,,,,,,,,,,,
2,52,42,32,,,,,,,,,,,,,,,,,,,,
2,84,62,51,,,,,,,,,,,,,,,,,,,,
2,55,40,77,,,,,,,,,,,,,,,,,,,,
2,51,27,19,,,,,,,,,,,,,,,,,,,,
2,59,27,37,,,,,,,,,,,,,,,,,,,,
2,50,48,78,,,,,,,,,,,,,,,,,,,,
2,50,23,49,,,,,,,,,,,,,,,,,,,,
2,58,36,58,,,,,,,,,,,,,,,,,,,,
2,35,6,51,,,,,,,,,,,,,,,,,,,,
2,36,15,32,,,,,,,,,,,,,,,,,,,,
2,26,0,58,,,,,,,,,,,,,,,,,,,,
2,63,38,90,,,,,,,,,,,,,,,,,,,,
2,82,61,53,,,,,,,,,,,,,,,,,,,,
2,81,63,53,,,,,,,,,,,,,,,,,,,,
2,71,39,57,,,,,,,,,,,,,,,,,,,,
2,65,68,56,,,,,,,,,,,,,,,,,,,,
2,39,24,32,,,,,,,,,,,,,,,,,,,,
2,70,46,49,,,,,,,,,,,,,,,,,,,,
2,39,15,73,,,,,,,,,,,,,,,,,,,,
2,75,50,73,,,,,,,,,,,,,,,,,,,,
2,36,7,60,,,,,,,,,,,,,,,,,,,,
2,80,63,32,,,,,,,,,,,,,,,,,,,,
2,72,62,73,,,,,,,,,,,,,,,,,,,,
2,20,22,76,,,,,,,,,,,,,,,,,,,,
2,36,36,35,,,,,,,,,,,,,,,,,,,,
2,66,47,51,,,,,,,,,,,,,,,,,,,,
2,16,0,96,,,,,,,,,,,,,,,,,,,,
2,70,40,19,,,,,,,,,,,,,,,,,,,,
2,33,32,67,,,,,,,,,,,,,,,,,,,,
2,58,37,86,,,,,,,,,,,,,,,,,,,,
2,45,34,55,,,,,,,,,,,,,,,,,,,,
2,26,20,43,,,,,,,,,,,,,,,,,,,,
2,48,42,76,,,,,,,,,,,,,,,,,,,,
2,79,56,98,,,,,,,,,,,,,,,,,,,,
2,33,14,72,,,,,,,,,,,,,,,,,,,,
2,52,48,100,,,,,,,,,,,,,,,,,,,,
2,29,34,53,,,,,,,,,,,,,,,,,,,,
2,70,38,45,,,,,,,,,,,,,,,,,,,,
2,41,27,63,,,,,,,,,,,,,,,,,,,,
2,56,26,91,,,,,,,,,,,,,,,,,,,,
2,35,7,68,,,,,,,,,,,,,,,,,,,,
2,19,8,67,,,,,,,,,,,,,,,,,,,,
2,63,38,79,,,,,,,,,,,,,,,,,,,,
2,77,74,57,,,,,,,,,,,,,,,,,,,,
2,57,37,86,,,,,,,,,,,,,,,,,,,,
2,35,26,72,,,,,,,,,,,,,,,,,,,,
2,90,98,38,,,,,,,,,,,,,,,,,,,,
2,59,45,82,,,,,,,,,,,,,,,,,,,,
2,33,26,61,,,,,,,,,,,,,,,,,,,,
2,61,46,87,,,,,,,,,,,,,,,,,,,,
2,50,37,87,,,,,,,,,,,,,,,,,,,,
2,36,14,83,,,,,,,,,,,,,,,,,,,,
2,66,42,76,,,,,,,,,,,,,,,,,,,,
2,8,1,61,,,,,,,,,,,,,,,,,,,,
2,98,67,87,,,,,,,,,,,,,,,,,,,,
2,24,14,67,,,,,,,,,,,,,,,,,,,,
2,90,69,56,,,,,,,,,,,,,,,,,,,,
2,52,40,87,,,,,,,,,,,,,,,,,,,,
2,32,14,46,,,,,,,,,,,,,,,,,,,,
2,60,54,64,,,,,,,,,,,,,,,,,,,,
2,56,33,57,,,,,,,,,,,,,,,,,,,,
3,64,35,40,,,,,,,,,,,,,,,,,,,,
3,56,46,62,,,,,,,,,,,,,,,,,,,,
3,76,61,22,,,,,,,,,,,,,,,,,,,,
3,75,57,56,,,,,,,,,,,,,,,,,,,,
3,68,58,64,,,,,,,,,,,,,,,,,,,,
3,57,39,56,,,,,,,,,,,,,,,,,,,,
3,100,68,56,,,,,,,,,,,,,,,,,,,,
3,31,39,66,,,,,,,,,,,,,,,,,,,,
3,38,29,100,,,,,,,,,,,,,,,,,,,,
3,58,50,90,,,,,,,,,,,,,,,,,,,,
3,100,76,43,,,,,,,,,,,,,,,,,,,,
3,83,65,46,,,,,,,,,,,,,,,,,,,,
3,85,67,46,,,,,,,,,,,,,,,,,,,,
3,49,31,52,,,,,,,,,,,,,,,,,,,,
3,93,70,55,,,,,,,,,,,,,,,,,,,,
3,31,9,70,,,,,,,,,,,,,,,,,,,,
3,80,68,57,,,,,,,,,,,,,,,,,,,,
3,54,9,46,,,,,,,,,,,,,,,,,,,,
3,39,5,88,,,,,,,,,,,,,,,,,,,,
3,60,32,48,,,,,,,,,,,,,,,,,,,,
3,53,12,71,,,,,,,,,,,,,,,,,,,,
3,69,50,50,,,,,,,,,,,,,,,,,,,,
3,80,84,43,,,,,,,,,,,,,,,,,,,,
3,54,27,48,,,,,,,,,,,,,,,,,,,,
3,34,5,51,,,,,,,,,,,,,,,,,,,,
3,52,32,28,,,,,,,,,,,,,,,,,,,,
3,66,44,60,,,,,,,,,,,,,,,,,,,,
3,73,58,48,,,,,,,,,,,,,,,,,,,,
3,63,32,61,,,,,,,,,,,,,,,,,,,,
3,79,50,71,,,,,,,,,,,,,,,,,,,,
3,61,25,70,,,,,,,,,,,,,,,,,,,,
3,76,42,77,,,,,,,,,,,,,,,,,,,,
3,61,62,100,,,,,,,,,,,,,,,,,,,,
3,55,40,76,,,,,,,,,,,,,,,,,,,,
3,66,59,82,,,,,,,,,,,,,,,,,,,,
3,56,35,40,,,,,,,,,,,,,,,,,,,,
3,89,54,62,,,,,,,,,,,,,,,,,,,,
3,39,21,53,,,,,,,,,,,,,,,,,,,,
3,41,32,64,,,,,,,,,,,,,,,,,,,,
3,100,69,78,,,,,,,,,,,,,,,,,,,,
3,70,39,82,,,,,,,,,,,,,,,,,,,,
3,64,20,68,,,,,,,,,,,,,,,,,,,,
3,64,40,73,,,,,,,,,,,,,,,,,,,,
3,62,49,68,,,,,,,,,,,,,,,,,,,,
3,69,48,70,,,,,,,,,,,,,,,,,,,,
3,58,29,34,,,,,,,,,,,,,,,,,,,,
3,68,37,77,,,,,,,,,,,,,,,,,,,,
3,80,55,88,,,,,,,,,,,,,,,,,,,,
3,54,39,91,,,,,,,,,,,,,,,,,,,,
3,45,18,49,,,,,,,,,,,,,,,,,,,,
3,66,48,63,,,,,,,,,,,,,,,,,,,,
3,30,13,43,,,,,,,,,,,,,,,,,,,,
3,69,46,72,,,,,,,,,,,,,,,,,,,,
3,28,11,100,,,,,,,,,,,,,,,,,,,,
3,91,60,53,,,,,,,,,,,,,,,,,,,,
3,58,31,77,,,,,,,,,,,,,,,,,,,,
3,47,19,65,,,,,,,,,,,,,,,,,,,,
3,44,30,46,,,,,,,,,,,,,,,,,,,,
3,47,32,36,,,,,,,,,,,,,,,,,,,,
3,30,3,50,,,,,,,,,,,,,,,,,,,,
3,94,61,35,,,,,,,,,,,,,,,,,,,,
3,71,39,56,,,,,,,,,,,,,,,,,,,,
3,51,35,45,,,,,,,,,,,,,,,,,,,,
3,48,24,69,,,,,,,,,,,,,,,,,,,,
3,76,41,86,,,,,,,,,,,,,,,,,,,,
3,88,52,39,,,,,,,,,,,,,,,,,,,,
3,59,55,50,,,,,,,,,,,,,,,,,,,,
3,80,58,11,,,,,,,,,,,,,,,,,,,,
3,39,14,48,,,,,,,,,,,,,,,,,,,,
3,38,38,79,,,,,,,,,,,,,,,,,,,,
3,49,29,100,,,,,,,,,,,,,,,,,,,,
3,67,43,68,,,,,,,,,,,,,,,,,,,,
3,60,42,90,,,,,,,,,,,,,,,,,,,,
3,100,75,60,,,,,,,,,,,,,,,,,,,,
3,72,47,79,,,,,,,,,,,,,,,,,,,,
3,57,32,61,,,,,,,,,,,,,,,,,,,,
3,53,47,53,,,,,,,,,,,,,,,,,,,,
3,45,30,46,,,,,,,,,,,,,,,,,,,,
3,86,65,41,,,,,,,,,,,,,,,,,,,,
3,37,23,35,,,,,,,,,,,,,,,,,,,,
3,51,32,55,,,,,,,,,,,,,,,,,,,,
3,74,42,56,,,,,,,,,,,,,,,,,,,,
3,90,61,68,,,,,,,,,,,,,,,,,,,,
3,69,48,45,,,,,,,,,,,,,,,,,,,,
3,43,22,65,,,,,,,,,,,,,,,,,,,,
3,58,37,80,,,,,,,,,,,,,,,,,,,,
3,60,39,46,,,,,,,,,,,,,,,,,,,,
3,83,64,45,,,,,,,,,,,,,,,,,,,,
3,58,41,60,,,,,,,,,,,,,,,,,,,,
3,55,24,49,,,,,,,,,,,,,,,,,,,,
3,70,58,44,,,,,,,,,,,,,,,,,,,,
3,84,55,33,,,,,,,,,,,,,,,,,,,,
3,34,12,71,,,,,,,,,,,,,,,,,,,,
3,56,45,64,,,,,,,,,,,,,,,,,,,,
3,66,19,54,,,,,,,,,,,,,,,,,,,,
3,51,44,67,,,,,,,,,,,,,,,,,,,,
3,87,71,40,,,,,,,,,,,,,,,,,,,,
3,36,8,55,,,,,,,,,,,,,,,,,,,,
3,63,26,56,,,,,,,,,,,,,,,,,,,,
3,49,44,86,,,,,,,,,,,,,,,,,,,,
