class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,71,33,65,70,52,74,,,,,,71,65,33,65,64,76,66,51,77,70,52,74
A,65,62,64,34,57,52,,,,,,65,64,62,37,101,51,37,46,38,34,57,52
A,55,22,67,50,36,98,,,,,,55,67,22,70,37,81,104,68,91,50,36,98
A,72,80,58,100,34,71,,,,,,72,58,80,55,56,64,74,89,62,112,34,71
A,37,59,10,77,49,66,,,,,,37,10,59,56,103,62,67,56,64,77,49,66
A,83,75,50,63,55,73,,,,,,83,50,75,50,51,52,28,78,35,63,55,73
A,64,67,71,52,86,54,,,,,,64,71,67,39,79,41,91,67,97,52,86,54
A,34,30,57,51,100,97,,,,,,34,57,30,75,42,72,61,71,70,51,101,97
A,86,87,33,51,60,100,,,,,,86,33,87,99,58,103,31,59,53,51,60,117
A,43,40,59,78,69,100,,,,,,43,59,40,117,39,113,67,92,88,78,69,122
A,65,21,58,79,94,100,,,,,,65,58,21,84,96,81,76,59,83,79,94,100
A,48,27,59,46,49,100,,,,,,48,59,27,79,78,87,86,73,91,46,49,101
A,64,71,31,78,56,56,,,,,,64,31,71,52,46,57,72,61,56,78,56,56
A,84,61,51,55,64,94,,,,,,84,51,61,82,77,87,42,47,49,55,64,94
A,44,62,36,91,78,33,,,,,,44,36,62,15,38,26,57,19,62,91,78,33
A,70,71,81,91,90,62,,,,,,70,81,71,62,25,69,58,71,58,91,90,62
A,20,28,84,23,58,85,,,,,,20,84,28,80,37,58,66,67,62,23,58,85
A,55,75,47,89,60,39,,,,,,55,47,75,47,32,53,71,32,76,89,60,39
A,97,99,36,63,74,85,,,,,,97,36,99,67,78,56,28,58,27,63,74,85
A,100,90,71,95,53,59,,,,,,101,71,90,51,21,63,70,83,58,95,53,59
A,49,44,78,88,65,79,,,,,,49,78,44,75,40,62,57,54,61,88,65,79
A,63,74,66,50,98,53,,,,,,63,66,74,47,64,61,39,54,22,50,98,53
A,83,100,39,53,19,100,,,,,,83,39,103,73,73,79,67,31,63,53,19,100
A,48,5,74,35,47,99,,,,,,48,74,5,93,50,89,65,79,62,35,47,99
A,100,57,70,61,48,75,,,,,,108,70,57,69,75,66,91,50,99,61,48,75
A,57,45,94,54,21,31,,,,,,57,94,45,27,44,23,57,25,59,54,21,31
A,64,72,77,89,94,83,,,,,,64,77,72,63,87,70,45,71,62,89,94,83
A,70,84,87,82,61,90,,,,,,70,87,84,91,32,92,44,97,46,82,61,90
A,35,48,92,87,50,100,,,,,,35,92,48,80,52,80,90,63,104,87,50,106
A,84,100,43,53,34,100,,,,,,84,43,106,98,82,86,69,9,55,53,34,122
A,49,56,88,63,43,59,,,,,,49,88,56,26,61,21,52,75,55,63,43,59
A,46,30,10,61,53,65,,,,,,46,10,30,60,87,47,57,45,70,61,53,65
A,67,61,53,64,67,74,,,,,,67,53,61,70,60,82,29,70,56,64,67,74
A,60,29,24,74,60,62,,,,,,60,24,29,41,71,32,84,36,97,74,60,62
A,65,9,59,54,81,72,,,,,,65,59,9,62,37,67,45,84,57,54,81,72
A,76,65,25,69,60,60,,,,,,76,25,65,59,48,63,62,80,54,69,60,60
A,79,80,99,54,54,54,,,,,,79,99,80,43,63,62,79,41,93,54,54,54
A,38,1,100,67,48,53,,,,,,38,105,1,59,28,38,76,65,75,67,48,53
A,100,100,50,84,64,81,,,,,,112,50,124,55,56,61,110,45,92,84,64,81
A,57,44,49,62,91,46,,,,,,57,49,44,56,59,49,45,73,42,62,91,46
A,64,51,59,45,49,43,,,,,,64,59,51,28,95,22,68,48,78,45,49,43
A,41,22,72,70,66,76,,,,,,41,72,22,68,63,78,51,66,49,70,66,76
A,50,59,93,100,77,79,,,,,,50,93,59,66,37,74,58,60,71,102,77,79
A,66,47,47,100,46,69,,,,,,66,47,47,47,95,55,57,59,71,109,46,69
A,85,55,84,49,69,86,,,,,,85,84,55,73,49,76,73,63,43,49,69,86
A,88,80,64,71,52,79,,,,,,88,64,80,62,97,70,63,70,75,71,52,79
A,44,54,79,81,64,62,,,,,,44,79,54,43,71,26,96,70,96,81,64,62
A,52,75,80,72,89,92,,,,,,52,80,75,79,62,72,59,61,41,72,89,92
A,50,37,67,71,14,85,,,,,,50,67,37,78,61,87,75,54,72,71,14,85
A,70,40,61,46,35,80,,,,,,70,61,40,68,46,75,16,58,42,46,35,80
A,61,47,95,70,55,95,,,,,,61,95,47,80,61,83,24,12,26,70,55,95
A,56,49,45,91,43,65,,,,,,56,45,49,54,80,61,21,40,28,91,43,65
A,60,29,72,89,14,65,,,,,,60,72,29,70,73,50,39,104,53,89,14,65
A,48,36,89,78,57,70,,,,,,48,89,36,43,51,55,68,78,65,78,57,70
A,59,75,81,52,83,80,,,,,,59,81,75,51,51,50,39,69,62,52,83,80
A,97,70,67,50,43,52,,,,,,97,67,70,36,76,24,46,63,53,50,43,52
A,62,40,51,99,96,66,,,,,,62,51,40,61,72,51,58,77,73,99,96,66
A,61,23,73,55,53,71,,,,,,61,73,23,44,70,51,102,56,105,55,53,71
A,62,83,63,56,42,60,,,,,,62,63,83,54,62,49,56,29,60,56,42,60
A,55,45,61,57,58,84,,,,,,55,61,45,72,74,63,100,48,100,57,58,84
A,73,56,68,59,74,53,,,,,,73,68,56,45,58,31,51,63,60,59,74,53
A,75,60,70,81,62,98,,,,,,75,70,60,86,76,77,58,89,40,81,62,98
A,65,69,62,91,38,86,,,,,,65,62,69,76,34,80,83,35,103,91,38,86
A,62,6,73,43,65,51,,,,,,62,73,6,42,56,34,47,60,46,43,65,51
A,78,70,14,67,97,41,,,,,,78,14,70,18,87,29,18,34,11,67,97,41
A,77,39,74,56,48,52,,,,,,77,74,39,20,98,17,49,76,48,56,48,52
A,69,50,12,68,51,88,,,,,,69,12,50,81,41,89,93,75,92,68,51,88
A,8,0,72,62,66,39,,,,,,8,72,-2,18,43,18,45,77,46,62,66,39
A,42,45,72,62,60,70,,,,,,42,72,45,57,59,64,41,86,51,62,60,70
A,30,40,47,60,54,54,,,,,,30,47,40,23,87,16,85,73,78,60,54,54
A,60,42,100,68,49,91,,,,,,60,110,42,61,24,77,49,56,55,68,49,91
A,33,9,73,49,86,53,,,,,,33,73,9,35,43,46,42,78,57,49,86,53
A,53,51,64,84,60,46,,,,,,53,64,51,40,69,56,53,80,62,84,60,46
A,40,19,55,22,85,76,,,,,,40,55,19,62,55,71,55,36,68,22,85,76
B,24,9,58,,,,,,,,,,,,,,,,,,,,
B,61,59,73,,,,,,,,,,,,,,,,,,,,
B,82,100,64,,,,,,,,,,,,,,,,,,,,
B,70,54,70,,,,,,,,,,,,,,,,,,,,
B,51,53,90,,,,,,,,,,,,,,,,,,,,
B,49,45,70,,,,,,,,,,,,,,,,,,,,
B,38,42,61,,,,,,,,,,,,,,,,,,,,
B,39,57,49,,,,,,,,,,,,,,,,,,,,
B,100,86,82,,,,,,,,,,,,,,,,,,,,
B,79,83,47,,,,,,,,,,,,,,,,,,,,
B,48,58,66,,,,,,,,,,,,,,,,,,,,
B,37,55,49,,,,,,,,,,,,,,,,,,,,
B,48,45,100,,,,,,,,,,,,,,,,,,,,
B,63,75,74,,,,,,,,,,,,,,,,,,,,
B,47,52,95,,,,,,,,,,,,,,,,,,,,
B,73,82,16,,,,,,,,,,,,,,,,,,,,
B,37,32,55,,,,,,,,,,,,,,,,,,,,
B,53,37,56,,,,,,,,,,,,,,,,,,,,
B,97,94,66,,,,,,,,,,,,,,,,,,,,
B,44,47,84,,,,,,,,,,,,,,,,,,,,
B,59,73,75,,,,,,,,,,,,,,,,,,,,
B,50,41,62,,,,,,,,,,,,,,,,,,,,
B,60,59,48,,,,,,,,,,,,,,,,,,,,
B,64,64,18,,,,,,,,,,,,,,,,,,,,
B,80,91,42,,,,,,,,,,,,,,,,,,,,
B,46,51,15,,,,,,,,,,,,,,,,,,,,
B,65,76,64,,,,,,,,,,,,,,,,,,,,
B,37,51,100,,,,,,,,,,,,,,,,,,,,
B,70,81,37,,,,,,,,,,,,,,,,,,,,
B,55,64,56,,,,,,,,,,,,,,,,,,,,
B,56,62,100,,,,,,,,,,,,,,,,,,,,
B,50,52,51,,,,,,,,,,,,,,,,,,,,
B,39,41,79,,,,,,,,,,,,,,,,,,,,
B,75,72,42,,,,,,,,,,,,,,,,,,,,
B,99,100,58,,,,,,,,,,,,,,,,,,,,
B,100,100,39,,,,,,,,,,,,,,,,,,,,
B,84,81,96,,,,,,,,,,,,,,,,,,,,
B,79,87,78,,,,,,,,,,,,,,,,,,,,
B,52,57,46,,,,,,,,,,,,,,,,,,,,
B,82,87,77,,,,,,,,,,,,,,,,,,,,
B,15,26,38,,,,,,,,,,,,,,,,,,,,
B,62,69,25,,,,,,,,,,,,,,,,,,,,
B,80,58,37,,,,,,,,,,,,,,,,,,,,
B,47,53,32,,,,,,,,,,,,,,,,,,,,
B,67,56,78,,,,,,,,,,,,,,,,,,,,
B,51,63,21,,,,,,,,,,,,,,,,,,,,
B,75,62,40,,,,,,,,,,,,,,,,,,,,
B,47,61,64,,,,,,,,,,,,,,,,,,,,
B,73,79,73,,,,,,,,,,,,,,,,,,,,
B,93,89,50,,,,,,,,,,,,,,,,,,,,
B,69,66,75,,,,,,,,,,,,,,,,,,,,
B,27,23,44,,,,,,,,,,,,,,,,,,,,
B,63,70,87,,,,,,,,,,,,,,,,,,,,
B,91,92,32,,,,,,,,,,,,,,,,,,,,
B,80,80,52,,,,,,,,,,,,,,,,,,,,
B,98,86,82,,,,,,,,,,,,,,,,,,,,
B,26,21,61,,,,,,,,,,,,,,,,,,,,
B,60,47,87,,,,,,,,,,,,,,,,,,,,
B,70,82,60,,,,,,,,,,,,,,,,,,,,
B,41,32,71,,,,,,,,,,,,,,,,,,,,
B,62,67,37,,,,,,,,,,,,,,,,,,,,
B,59,63,48,,,,,,,,,,,,,,,,,,,,
B,43,62,63,,,,,,,,,,,,,,,,,,,,
B,59,38,28,,,,,,,,,,,,,,,,,,,,
B,55,61,56,,,,,,,,,,,,,,,,,,,,
B,56,49,59,,,,,,,,,,,,,,,,,,,,
B,28,22,95,,,,,,,,,,,,,,,,,,,,
B,68,78,63,,,,,,,,,,,,,,,,,,,,
B,66,74,37,,,,,,,,,,,,,,,,,,,,
B,47,55,95,,,,,,,,,,,,,,,,,,,,
B,73,76,49,,,,,,,,,,,,,,,,,,,,
B,62,70,97,,,,,,,,,,,,,,,,,,,,
B,43,26,71,,,,,,,,,,,,,,,,,,,,
B,79,72,62,,,,,,,,,,,,,,,,,,,,
B,78,87,61,,,,,,,,,,,,,,,,,,,,
B,68,75,46,,,,,,,,,,,,,,,,,,,,
B,80,83,61,,,,,,,,,,,,,,,,,,,,
B,54,61,80,,,,,,,,,,,,,,,,,,,,
B,70,50,73,,,,,,,,,,,,,,,,,,,,
B,43,55,51,,,,,,,,,,,,,,,,,,,,
B,51,50,51,,,,,,,,,,,,,,,,,,,,
B,36,24,76,,,,,,,,,,,,,,,,,,,,
B,61,51,72,,,,,,,,,,,,,,,,,,,,
B,44,51,70,,,,,,,,,,,,,,,,,,,,
B,54,49,62,,,,,,,,,,,,,,,,,,,,
B,72,63,74,,,,,,,,,,,,,,,,,,,,
B,45,31,58,,,,,,,,,,,,,,,,,,,,
B,86,77,76,,,,,,,,,,,,,,,,,,,,
B,76,80,34,,,,,,,,,,,,,,,,,,,,
B,42,34,56,,,,,,,,,,,,,,,,,,,,
B,18,29,87,,,,,,,,,,,,,,,,,,,,
B,20,17,98,,,,,,,,,,,,,,,,,,,,
B,81,89,41,,,,,,,,,,,,,,,,,,,,
B,18,18,43,,,,,,,,,,,,,,,,,,,,
B,57,64,59,,,,,,,,,,,,,,,,,,,,
B,23,16,87,,,,,,,,,,,,,,,,,,,,
B,61,77,24,,,,,,,,,,,,,,,,,,,,
B,35,46,43,,,,,,,,,,,,,,,,,,,,
B,40,56,69,,,,,,,,,,,,,,,,,,,,
B,62,71,55,,,,,,,,,,,,,,,,,,,,
C,61,87,62,,,,,,,,,,,,,,,,,,,,
C,63,85,35,,,,,,,,,,,,,,,,,,,,
C,80,69,70,,,,,,,,,,,,,,,,,,,,
C,0,0,55,,,,,,,,,,,,,,,,,,,,
C,29,20,76,,,,,,,,,,,,,,,,,,,,
C,77,77,30,,,,,,,,,,,,,,,,,,,,
C,51,38,61,,,,,,,,,,,,,,,,,,,,
C,50,55,61,,,,,,,,,,,,,,,,,,,,
C,53,66,44,,,,,,,,,,,,,,,,,,,,
C,84,94,54,,,,,,,,,,,,,,,,,,,,
C,63,64,80,,,,,,,,,,,,,,,,,,,,
C,55,70,59,,,,,,,,,,,,,,,,,,,,
C,48,53,78,,,,,,,,,,,,,,,,,,,,
C,54,48,100,,,,,,,,,,,,,,,,,,,,
C,54,38,76,,,,,,,,,,,,,,,,,,,,
C,43,52,51,,,,,,,,,,,,,,,,,,,,
C,58,37,56,,,,,,,,,,,,,,,,,,,,
C,51,62,98,,,,,,,,,,,,,,,,,,,,
C,56,52,60,,,,,,,,,,,,,,,,,,,,
C,76,73,66,,,,,,,,,,,,,,,,,,,,
C,16,26,54,,,,,,,,,,,,,,,,,,,,
C,45,64,100,,,,,,,,,,,,,,,,,,,,
C,30,24,79,,,,,,,,,,,,,,,,,,,,
C,61,60,52,,,,,,,,,,,,,,,,,,,,
C,83,96,60,,,,,,,,,,,,,,,,,,,,
C,66,78,64,,,,,,,,,,,,,,,,,,,,
C,66,77,51,,,,,,,,,,,,,,,,,,,,
C,37,38,46,,,,,,,,,,,,,,,,,,,,
C,100,91,68,,,,,,,,,,,,,,,,,,,,
C,74,62,89,,,,,,,,,,,,,,,,,,,,
C,67,64,56,,,,,,,,,,,,,,,,,,,,
C,28,35,78,,,,,,,,,,,,,,,,,,,,
C,91,97,67,,,,,,,,,,,,,,,,,,,,
C,61,70,71,,,,,,,,,,,,,,,,,,,,
C,31,53,59,,,,,,,,,,,,,,,,,,,,
C,67,88,92,,,,,,,,,,,,,,,,,,,,
C,76,83,59,,,,,,,,,,,,,,,,,,,,
C,86,91,73,,,,,,,,,,,,,,,,,,,,
C,72,56,61,,,,,,,,,,,,,,,,,,,,
C,42,49,47,,,,,,,,,,,,,,,,,,,,
C,57,62,19,,,,,,,,,,,,,,,,,,,,
C,58,58,71,,,,,,,,,,,,,,,,,,,,
C,66,62,67,,,,,,,,,,,,,,,,,,,,
C,71,76,32,,,,,,,,,,,,,,,,,,,,
C,28,27,58,,,,,,,,,,,,,,,,,,,,
C,70,58,83,,,,,,,,,,,,,,,,,,,,
C,57,61,54,,,,,,,,,,,,,,,,,,,,
C,39,22,54,,,,,,,,,,,,,,,,,,,,
C,67,63,31,,,,,,,,,,,,,,,,,,,,
C,65,62,79,,,,,,,,,,,,,,,,,,,,
C,91,99,50,,,,,,,,,,,,,,,,,,,,
C,57,59,25,,,,,,,,,,,,,,,,,,,,
C,45,62,71,,,,,,,,,,,,,,,,,,,,
C,44,46,97,,,,,,,,,,,,,,,,,,,,
C,90,100,63,,,,,,,,,,,,,,,,,,,,
C,69,55,9,,,,,,,,,,,,,,,,,,,,
C,52,55,75,,,,,,,,,,,,,,,,,,,,
C,57,70,45,,,,,,,,,,,,,,,,,,,,
C,29,56,70,,,,,,,,,,,,,,,,,,,,
C,84,97,36,,,,,,,,,,,,,,,,,,,,
C,45,57,84,,,,,,,,,,,,,,,,,,,,
C,62,54,80,,,,,,,,,,,,,,,,,,,,
C,79,93,41,,,,,,,,,,,,,,,,,,,,
C,76,75,65,,,,,,,,,,,,,,,,,,,,
C,100,92,45,,,,,,,,,,,,,,,,,,,,
C,45,42,73,,,,,,,,,,,,,,,,,,,,
C,68,78,48,,,,,,,,,,,,,,,,,,,,
C,51,49,66,,,,,,,,,,,,,,,,,,,,
C,58,71,60,,,,,,,,,,,,,,,,,,,,
C,57,71,59,,,,,,,,,,,,,,,,,,,,
C,73,43,63,,,,,,,,,,,,,,,,,,,,
C,63,75,70,,,,,,,,,,,,,,,,,,,,
C,96,96,70,,,,,,,,,,,,,,,,,,,,
C,59,41,61,,,,,,,,,,,,,,,,,,,,
C,75,72,54,,,,,,,,,,,,,,,,,,,,
C,16,42,58,,,,,,,,,,,,,,,,,,,,
C,24,26,12,,,,,,,,,,,,,,,,,,,,
C,21,28,40,,,,,,,,,,,,,,,,,,,,
C,39,53,100,,,,,,,,,,,,,,,,,,,,
C,68,65,78,,,,,,,,,,,,,,,,,,,,
C,39,62,69,,,,,,,,,,,,,,,,,,,,
C,46,53,63,,,,,,,,,,,,,,,,,,,,
C,58,73,77,,,,,,,,,,,,,,,,,,,,
C,100,100,56,,,,,,,,,,,,,,,,,,,,
C,56,60,29,,,,,,,,,,,,,,,,,,,,
C,100,100,48,,,,,,,,,,,,,,,,,,,,
C,51,60,63,,,,,,,,,,,,,,,,,,,,
C,58,40,89,,,,,,,,,,,,,,,,,,,,
C,83,100,35,,,,,,,,,,,,,,,,,,,,
C,47,46,60,,,,,,,,,,,,,,,,,,,,
C,18,11,34,,,,,,,,,,,,,,,,,,,,
C,49,48,76,,,,,,,,,,,,,,,,,,,,
C,93,92,75,,,,,,,,,,,,,,,,,,,,
C,45,46,77,,,,,,,,,,,,,,,,,,,,
C,41,51,86,,,,,,,,,,,,,,,,,,,,
C,85,78,73,,,,,,,,,,,,,,,,,,,,
C,49,55,56,,,,,,,,,,,,,,,,,,,,
C,42,57,78,,,,,,,,,,,,,,,,,,,,
C,53,62,80,,,,,,,,,,,,,,,,,,,,
C,55,68,36,,,,,,,,,,,,,,,,,,,,
