eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
63,71,64,43,66,63,41,30,36,37,50,78,,,,,,63,64,71,41,36,30,37,78,50,43,66,63
48,53,100,36,84,67,60,80,49,83,100,54,,,,,,48,103,53,60,49,80,83,54,110,36,84,67
61,60,51,51,68,47,34,50,58,98,100,38,,,,,,61,51,60,34,58,50,98,38,100,51,68,47
79,62,82,42,38,72,65,80,59,75,100,71,,,,,,79,82,62,65,59,80,75,71,100,42,38,72
53,81,92,65,60,82,71,70,88,87,90,66,,,,,,53,92,81,71,88,70,87,66,90,65,60,82
77,56,53,41,48,56,31,30,23,58,70,48,,,,,,77,53,56,31,23,30,58,48,70,41,48,56
51,75,68,63,42,12,24,50,61,78,100,74,,,,,,51,68,75,24,61,50,78,74,110,63,42,12
55,38,41,62,51,57,51,70,74,57,60,68,,,,,,55,41,38,51,74,70,57,68,60,62,51,57
48,54,72,71,28,74,41,60,92,92,100,78,,,,,,48,72,54,41,92,60,92,78,110,71,28,74
67,38,100,42,40,100,80,80,68,78,90,30,,,,,,67,114,38,80,68,80,78,30,90,42,40,105
74,93,59,58,27,82,72,70,42,36,60,72,,,,,,74,59,93,72,42,70,36,72,60,58,27,82
87,78,75,62,48,68,72,80,54,68,90,85,,,,,,87,75,78,72,54,80,68,85,90,62,48,68
60,77,42,84,65,56,45,40,74,25,40,66,,,,,,60,42,77,45,74,40,25,66,40,84,65,56
62,73,79,87,94,92,63,80,61,16,30,69,,,,,,62,79,73,63,61,80,16,69,30,87,94,92
43,65,66,55,62,26,26,30,92,54,70,64,,,,,,43,66,65,26,92,30,54,64,70,55,62,26
63,56,32,71,39,55,39,50,49,86,100,64,,,,,,63,32,56,39,49,50,86,64,110,71,39,55
87,75,62,66,46,50,29,40,70,72,80,54,,,,,,87,62,75,29,70,40,72,54,80,66,46,50
71,80,68,58,40,46,53,70,24,100,100,72,,,,,,71,68,80,53,24,70,108,72,110,58,40,46
31,41,46,14,61,29,25,30,62,34,50,56,,,,,,31,46,41,25,62,30,34,56,50,14,61,29
47,56,81,57,49,95,70,100,48,98,100,59,,,,,,47,81,56,70,48,100,98,59,110,57,49,95
19,0,83,37,69,92,72,90,50,63,70,73,,,,,,19,83,-1,72,50,90,63,73,70,37,69,92
67,84,88,100,69,69,49,70,43,46,50,45,,,,,,67,88,84,49,43,70,46,45,50,110,69,69
68,81,57,75,80,98,76,90,74,10,30,80,,,,,,68,57,81,76,74,90,10,80,30,75,80,98
56,38,21,77,80,100,98,100,82,66,80,66,,,,,,56,21,38,98,82,120,66,66,80,77,80,117
61,35,26,32,54,77,69,90,45,51,70,64,,,,,,61,26,35,69,45,90,51,64,70,32,54,77
17,0,36,72,56,79,68,90,9,72,70,71,,,,,,17,36,-26,68,9,90,72,71,70,72,56,79
99,72,82,64,70,70,58,70,66,50,60,47,,,,,,99,82,72,58,66,70,50,47,60,64,70,70
57,35,64,73,9,58,53,60,89,82,100,64,,,,,,57,64,35,53,89,60,82,64,100,73,9,58
43,4,96,61,64,91,88,100,62,66,80,18,,,,,,43,96,4,88,62,100,66,18,80,61,64,91
74,63,44,36,57,55,29,50,79,58,60,42,,,,,,74,44,63,29,79,50,58,42,60,36,57,55
67,50,79,67,45,44,44,40,46,52,60,64,,,,,,67,79,50,44,46,40,52,64,60,67,45,44
41,32,57,76,77,41,42,40,56,91,80,48,,,,,,41,57,32,42,56,40,91,48,80,76,77,41
78,60,45,100,37,83,66,80,40,100,100,49,,,,,,78,45,60,66,40,80,101,49,130,107,37,83
57,30,76,77,62,92,78,80,77,79,90,67,,,,,,57,76,30,78,77,80,79,67,90,77,62,92
44,36,38,62,100,82,69,90,77,71,80,60,,,,,,44,38,36,69,77,90,71,60,80,62,102,82
63,30,59,62,59,82,67,80,21,85,90,78,,,,,,63,59,30,67,21,80,85,78,90,62,59,82
58,44,35,39,76,74,55,70,53,58,70,0,,,,,,58,35,44,55,53,70,58,0,70,39,76,74
69,36,69,69,48,92,74,100,62,79,100,56,,,,,,69,69,36,74,62,110,79,56,100,69,48,92
49,84,42,24,79,55,47,60,77,49,70,50,,,,,,49,42,84,47,77,60,49,50,70,24,79,55
65,88,51,95,80,89,75,90,100,43,40,37,,,,,,65,51,88,75,100,90,43,37,40,95,80,89
48,48,55,91,46,98,100,90,66,86,90,100,,,,,,48,55,48,106,66,90,86,108,90,91,46,98
53,36,67,41,34,100,100,100,82,58,60,35,,,,,,53,67,36,108,82,120,58,35,60,41,34,118
51,71,81,68,70,94,88,90,56,83,90,57,,,,,,51,81,71,88,56,90,83,57,90,68,70,94
47,16,71,73,34,54,45,60,63,56,60,59,,,,,,47,71,16,45,63,60,56,59,60,73,34,54
55,65,55,82,99,73,62,80,62,59,70,36,,,,,,55,55,65,62,62,80,59,36,70,82,99,73
67,91,79,29,54,91,69,90,40,69,70,23,,,,,,67,79,91,69,40,90,69,23,70,29,54,91
50,50,73,35,43,54,40,50,69,67,80,79,,,,,,50,73,50,40,69,50,67,79,80,35,43,54
55,46,64,13,60,88,67,70,33,48,60,59,,,,,,55,64,46,67,33,70,48,59,60,13,60,88
73,57,78,75,68,55,48,70,74,56,50,64,,,,,,73,78,57,48,74,70,56,64,50,75,68,55
62,46,48,50,42,60,56,70,63,99,100,34,,,,,,62,48,46,56,63,70,99,34,110,50,42,60
67,68,61,66,53,74,66,100,68,16,20,61,,,,,,67,61,68,66,68,100,16,61,20,66,53,74
73,77,54,66,65,68,62,70,58,90,100,69,,,,,,73,54,77,62,58,70,90,69,120,66,65,68
63,44,56,75,100,89,57,70,61,99,80,49,,,,,,63,56,44,57,61,70,99,49,80,75,116,89
69,74,81,100,56,68,60,100,36,85,100,45,,,,,,69,81,74,60,36,100,85,45,110,100,56,68
31,52,48,76,25,73,62,70,87,49,70,72,,,,,,31,48,52,62,87,70,49,72,70,76,25,73
39,11,68,71,54,94,79,100,100,64,80,51,,,,,,39,68,11,79,111,100,64,51,80,71,54,94
55,56,71,52,77,68,56,80,83,72,80,78,,,,,,55,71,56,56,83,80,72,78,80,52,77,68
52,46,48,52,76,36,13,30,66,53,60,61,,,,,,52,48,46,13,66,30,53,61,60,52,76,36
46,43,68,53,53,77,62,60,1,80,100,69,,,,,,46,68,43,62,1,60,80,69,100,53,53,77
76,54,78,65,82,78,61,60,62,83,100,31,,,,,,76,78,54,61,62,60,83,31,100,65,82,78
60,44,34,76,74,63,57,60,38,53,60,83,,,,,,60,34,44,57,38,60,53,83,60,76,74,63
83,89,27,64,83,100,83,100,100,88,100,32,,,,,,83,27,89,83,112,100,88,32,110,64,83,103
51,44,48,90,54,100,85,70,65,51,70,85,,,,,,51,48,44,85,65,70,51,85,70,90,54,101
85,91,63,31,33,100,95,100,84,72,90,15,,,,,,85,63,91,95,84,110,72,15,90,31,33,114
71,74,75,76,85,93,67,80,59,40,70,93,,,,,,71,75,74,67,59,80,40,93,70,76,85,93
46,3,65,73,68,93,84,100,78,79,100,40,,,,,,46,65,3,84,78,100,79,40,100,73,68,93
76,63,65,51,51,70,62,90,79,49,70,34,,,,,,76,65,63,62,79,90,49,34,70,51,51,70
56,39,70,59,65,54,41,60,42,36,40,82,,,,,,56,70,39,41,42,60,36,82,40,59,65,54
58,27,65,81,60,97,60,80,88,66,90,100,,,,,,58,65,27,60,88,80,66,105,90,81,60,97
55,56,82,80,91,100,80,100,100,98,100,63,,,,,,55,82,56,80,105,100,98,63,110,80,91,105
58,58,50,54,63,67,45,50,66,41,60,83,,,,,,58,50,58,45,66,50,41,83,60,54,63,67
31,52,67,53,52,45,14,0,79,49,70,63,,,,,,31,67,52,14,79,0,49,63,70,53,52,45
11,0,71,71,86,27,36,50,63,41,60,42,,,,,,11,71,-3,36,63,50,41,42,60,71,86,27
63,63,77,35,49,62,46,50,53,55,60,58,,,,,,63,77,63,46,53,50,55,58,60,35,49,62
100,75,74,88,75,67,52,80,37,53,70,61,,,,,,103,74,75,52,37,80,53,61,70,88,75,67
92,100,67,56,76,98,71,90,63,59,80,42,,,,,,92,67,100,71,63,90,59,42,80,56,76,98
33,36,71,39,49,42,43,60,25,91,90,46,,,,,,33,71,36,43,25,60,91,46,90,39,49,42
71,52,62,77,33,60,49,50,95,63,60,93,,,,,,71,62,52,49,95,50,63,93,60,77,33,60
40,0,88,49,53,33,22,40,100,37,40,57,,,,,,40,88,-29,22,102,40,37,57,40,49,53,33
