class,eng,jpn,math,eng*,jpn*,math*,,,,,,,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,78,67,88,83,44,100,,,,,,,,,,,,78,88,67,97,85,110,68,67,80,83,44,112
A,58,71,65,54,87,91,,,,,,,,,,,,58,65,71,63,52,80,83,89,90,54,87,91
A,68,69,54,73,46,84,,,,,,,,,,,,68,54,69,72,41,110,-10,57,10,73,46,84
A,85,50,62,70,44,85,,,,,,,,,,,,85,62,50,66,35,90,82,56,100,70,44,85
A,45,55,62,80,66,54,,,,,,,,,,,,45,62,55,44,70,60,94,64,110,80,66,54
A,83,81,82,100,53,100,,,,,,,,,,,,83,82,81,108,76,110,50,20,70,109,53,111
A,85,81,95,57,64,94,,,,,,,,,,,,85,95,81,80,63,100,58,52,80,57,64,94
A,60,58,80,61,83,81,,,,,,,,,,,,60,80,58,63,84,80,82,65,90,61,83,81
A,89,93,77,100,69,43,,,,,,,,,,,,89,77,93,22,51,30,90,87,110,103,69,43
A,63,74,84,59,87,68,,,,,,,,,,,,63,84,74,60,67,70,59,67,80,59,87,68
A,75,37,24,50,48,71,,,,,,,,,,,,75,24,37,32,60,60,67,23,70,50,48,71
A,23,11,31,24,64,58,,,,,,,,,,,,23,31,11,47,42,60,72,87,80,24,64,58
A,72,73,81,31,55,88,,,,,,,,,,,,72,81,73,69,31,80,58,57,60,31,55,88
A,41,36,65,57,50,74,,,,,,,,,,,,41,65,36,44,30,70,57,44,80,57,50,74
A,56,59,50,53,57,60,,,,,,,,,,,,56,50,59,57,19,70,64,42,80,53,57,60
A,68,64,83,62,58,56,,,,,,,,,,,,68,83,64,52,61,70,80,87,90,62,58,56
A,44,42,68,67,74,100,,,,,,,,,,,,44,68,42,90,38,80,41,46,70,67,74,102
A,52,85,99,86,56,67,,,,,,,,,,,,52,99,85,49,42,70,43,55,60,86,56,67
A,66,85,68,83,49,53,,,,,,,,,,,,66,68,85,37,38,50,58,54,70,83,49,53
A,72,72,80,68,9,66,,,,,,,,,,,,72,80,72,46,94,50,47,74,50,68,9,66
A,73,59,34,82,65,40,,,,,,,,,,,,73,34,59,16,53,40,77,61,100,82,65,40
A,100,100,35,74,90,71,,,,,,,,,,,,111,35,100,50,41,50,76,40,90,74,90,71
A,42,30,87,78,53,53,,,,,,,,,,,,42,87,30,35,77,70,81,19,90,78,53,53
A,88,80,69,47,58,89,,,,,,,,,,,,88,69,80,64,89,80,66,48,80,47,58,89
A,58,22,100,61,37,24,,,,,,,,,,,,58,100,22,15,32,30,59,73,90,61,37,24
A,76,48,35,69,77,44,,,,,,,,,,,,76,35,48,30,69,40,75,55,80,69,77,44
A,70,76,49,40,58,68,,,,,,,,,,,,70,49,76,45,114,70,47,31,60,40,58,68
A,100,84,43,78,63,71,,,,,,,,,,,,101,43,84,71,87,80,45,104,70,78,63,71
A,67,62,40,76,65,99,,,,,,,,,,,,67,40,62,73,46,80,52,66,50,76,65,99
A,56,53,48,61,64,42,,,,,,,,,,,,56,48,53,26,46,50,35,41,50,61,64,42
A,80,74,53,95,55,71,,,,,,,,,,,,80,53,74,54,69,60,29,74,50,95,55,71
A,16,29,63,69,87,45,,,,,,,,,,,,16,63,29,54,58,60,54,69,60,69,87,45
A,75,69,54,25,84,74,,,,,,,,,,,,75,54,69,66,56,80,57,81,70,25,84,74
A,44,67,41,65,58,95,,,,,,,,,,,,44,41,67,96,69,120,91,75,110,65,58,95
A,86,84,64,33,67,83,,,,,,,,,,,,86,64,84,64,61,90,108,84,120,33,67,83
A,75,70,67,66,71,48,,,,,,,,,,,,75,67,70,42,97,50,65,47,100,66,71,48
A,66,70,41,58,64,78,,,,,,,,,,,,66,41,70,63,58,70,58,75,70,58,64,78
A,50,65,72,73,35,82,,,,,,,,,,,,50,72,65,86,78,90,29,78,30,73,35,82
A,100,100,88,55,43,91,,,,,,,,,,,,101,88,103,76,75,70,91,39,90,55,43,91
A,65,47,61,78,56,65,,,,,,,,,,,,65,61,47,49,86,60,64,78,90,78,56,65
A,75,93,59,43,16,61,,,,,,,,,,,,75,59,93,58,77,60,43,51,70,43,16,61
A,0,0,53,77,66,61,,,,,,,,,,,,-3,53,-9,35,68,40,54,5,70,77,66,61
A,61,59,76,78,93,74,,,,,,,,,,,,61,76,59,80,48,110,45,19,50,78,93,74
A,73,63,90,94,65,91,,,,,,,,,,,,73,90,63,80,63,90,25,67,50,94,65,91
A,55,20,58,24,65,67,,,,,,,,,,,,55,58,20,40,70,60,49,97,70,24,65,67
A,37,68,55,89,67,78,,,,,,,,,,,,37,55,68,70,76,90,86,73,110,89,67,78
A,26,61,58,53,50,100,,,,,,,,,,,,26,58,61,89,71,120,40,83,40,53,50,110
A,47,64,100,91,49,100,,,,,,,,,,,,47,109,64,71,69,70,56,41,60,91,49,111
A,73,87,80,74,90,96,,,,,,,,,,,,73,80,87,98,66,120,99,60,100,74,90,96
A,38,53,89,58,59,34,,,,,,,,,,,,38,89,53,27,38,50,73,68,100,58,59,34
A,72,76,68,58,60,70,,,,,,,,,,,,72,68,76,48,69,80,45,39,60,58,60,70
A,62,55,55,55,49,100,,,,,,,,,,,,62,55,55,95,118,130,76,71,90,55,49,104
A,53,46,69,100,7,75,,,,,,,,,,,,53,69,46,47,29,60,67,40,80,103,7,75
A,59,38,60,65,34,100,,,,,,,,,,,,59,60,38,102,26,120,76,96,100,65,34,103
A,51,75,60,80,45,71,,,,,,,,,,,,51,60,75,54,91,80,48,35,50,80,45,71
A,45,57,62,86,78,91,,,,,,,,,,,,45,62,57,63,52,70,68,43,80,86,78,91
A,52,54,53,45,58,51,,,,,,,,,,,,52,53,54,28,54,60,58,83,80,45,58,51
A,76,45,32,95,76,70,,,,,,,,,,,,76,32,45,65,57,70,37,84,60,95,76,70
A,88,56,100,82,44,80,,,,,,,,,,,,88,104,56,71,47,70,83,48,100,82,44,80
A,87,80,59,76,32,93,,,,,,,,,,,,87,59,80,71,34,90,35,39,60,76,32,93
A,48,42,46,80,65,98,,,,,,,,,,,,48,46,42,86,76,80,41,24,60,80,65,98
A,35,63,70,89,60,100,,,,,,,,,,,,35,70,63,98,90,100,50,48,60,89,60,124
A,36,55,66,66,53,73,,,,,,,,,,,,36,66,55,51,64,70,28,98,30,66,53,73
A,49,63,61,54,93,100,,,,,,,,,,,,49,61,63,89,52,90,63,76,60,54,93,110
A,44,42,69,62,76,86,,,,,,,,,,,,44,69,42,74,65,90,60,89,60,62,76,86
A,81,87,58,41,41,74,,,,,,,,,,,,81,58,87,64,48,80,56,82,60,41,41,74
B,67,71,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,53,80,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,48,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,
B,42,40,91,,,,,,,,,,,,,,,,,,,,,,,,,,
B,45,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,70,44,,,,,,,,,,,,,,,,,,,,,,,,,,
B,93,100,94,,,,,,,,,,,,,,,,,,,,,,,,,,
B,99,100,59,,,,,,,,,,,,,,,,,,,,,,,,,,
B,35,50,31,,,,,,,,,,,,,,,,,,,,,,,,,,
B,54,60,71,,,,,,,,,,,,,,,,,,,,,,,,,,
B,73,90,46,,,,,,,,,,,,,,,,,,,,,,,,,,
B,93,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,61,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,59,70,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,70,100,78,,,,,,,,,,,,,,,,,,,,,,,,,,
B,37,60,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,75,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,42,70,41,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,45,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,90,98,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,90,81,,,,,,,,,,,,,,,,,,,,,,,,,,
B,83,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,49,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,
B,55,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,
B,84,100,78,,,,,,,,,,,,,,,,,,,,,,,,,,
B,35,70,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,84,90,60,,,,,,,,,,,,,,,,,,,,,,,,,,
B,63,60,91,,,,,,,,,,,,,,,,,,,,,,,,,,
B,73,90,56,,,,,,,,,,,,,,,,,,,,,,,,,,
B,93,90,61,,,,,,,,,,,,,,,,,,,,,,,,,,
B,56,60,97,,,,,,,,,,,,,,,,,,,,,,,,,,
B,67,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,97,100,85,,,,,,,,,,,,,,,,,,,,,,,,,,
B,63,80,52,,,,,,,,,,,,,,,,,,,,,,,,,,
B,72,100,41,,,,,,,,,,,,,,,,,,,,,,,,,,
B,66,90,35,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,63,80,84,,,,,,,,,,,,,,,,,,,,,,,,,,
B,22,30,51,,,,,,,,,,,,,,,,,,,,,,,,,,
B,60,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,32,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,
B,47,60,42,,,,,,,,,,,,,,,,,,,,,,,,,,
B,69,80,31,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,
B,57,70,19,,,,,,,,,,,,,,,,,,,,,,,,,,
B,52,70,61,,,,,,,,,,,,,,,,,,,,,,,,,,
B,90,80,38,,,,,,,,,,,,,,,,,,,,,,,,,,
B,49,70,42,,,,,,,,,,,,,,,,,,,,,,,,,,
B,37,50,38,,,,,,,,,,,,,,,,,,,,,,,,,,
B,46,50,94,,,,,,,,,,,,,,,,,,,,,,,,,,
B,16,40,53,,,,,,,,,,,,,,,,,,,,,,,,,,
B,50,50,41,,,,,,,,,,,,,,,,,,,,,,,,,,
B,35,70,77,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,80,89,,,,,,,,,,,,,,,,,,,,,,,,,,
B,15,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,
B,30,40,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,45,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,80,87,,,,,,,,,,,,,,,,,,,,,,,,,,
B,73,80,46,,,,,,,,,,,,,,,,,,,,,,,,,,
B,26,50,46,,,,,,,,,,,,,,,,,,,,,,,,,,
B,54,60,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,54,60,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,66,80,56,,,,,,,,,,,,,,,,,,,,,,,,,,
B,96,100,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,90,61,,,,,,,,,,,,,,,,,,,,,,,,,,
B,42,50,97,,,,,,,,,,,,,,,,,,,,,,,,,,
B,63,70,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,86,90,78,,,,,,,,,,,,,,,,,,,,,,,,,,
B,76,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,
B,49,60,86,,,,,,,,,,,,,,,,,,,,,,,,,,
B,58,60,77,,,,,,,,,,,,,,,,,,,,,,,,,,
B,35,40,68,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,100,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,90,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,40,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,
B,70,90,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,89,100,71,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,98,100,66,,,,,,,,,,,,,,,,,,,,,,,,,,
B,27,50,38,,,,,,,,,,,,,,,,,,,,,,,,,,
B,48,80,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,95,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,47,60,29,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,
B,54,80,91,,,,,,,,,,,,,,,,,,,,,,,,,,
B,63,70,52,,,,,,,,,,,,,,,,,,,,,,,,,,
B,28,60,54,,,,,,,,,,,,,,,,,,,,,,,,,,
B,65,70,57,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,70,47,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,90,34,,,,,,,,,,,,,,,,,,,,,,,,,,
B,86,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,98,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,70,64,,,,,,,,,,,,,,,,,,,,,,,,,,
B,89,90,52,,,,,,,,,,,,,,,,,,,,,,,,,,
B,74,90,65,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,
C,43,79,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,79,90,44,,,,,,,,,,,,,,,,,,,,,,,,,,
C,81,90,47,,,,,,,,,,,,,,,,,,,,,,,,,,
C,67,80,49,,,,,,,,,,,,,,,,,,,,,,,,,,
C,46,60,31,,,,,,,,,,,,,,,,,,,,,,,,,,
C,71,90,51,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,80,62,,,,,,,,,,,,,,,,,,,,,,,,,,
C,86,90,46,,,,,,,,,,,,,,,,,,,,,,,,,,
C,46,60,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,61,80,79,,,,,,,,,,,,,,,,,,,,,,,,,,
C,32,40,69,,,,,,,,,,,,,,,,,,,,,,,,,,
C,39,60,20,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,80,33,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,90,83,,,,,,,,,,,,,,,,,,,,,,,,,,
C,83,100,72,,,,,,,,,,,,,,,,,,,,,,,,,,
C,42,50,43,,,,,,,,,,,,,,,,,,,,,,,,,,
C,25,50,71,,,,,,,,,,,,,,,,,,,,,,,,,,
C,75,60,36,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,90,74,,,,,,,,,,,,,,,,,,,,,,,,,,
C,87,80,39,,,,,,,,,,,,,,,,,,,,,,,,,,
C,69,90,67,,,,,,,,,,,,,,,,,,,,,,,,,,
C,96,100,69,,,,,,,,,,,,,,,,,,,,,,,,,,
C,79,100,62,,,,,,,,,,,,,,,,,,,,,,,,,,
C,100,100,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,40,61,,,,,,,,,,,,,,,,,,,,,,,,,,
C,40,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C,88,100,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,31,50,57,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,70,60,,,,,,,,,,,,,,,,,,,,,,,,,,
C,29,50,42,,,,,,,,,,,,,,,,,,,,,,,,,,
C,61,80,93,,,,,,,,,,,,,,,,,,,,,,,,,,
C,51,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,
C,66,100,35,,,,,,,,,,,,,,,,,,,,,,,,,,
C,59,80,52,,,,,,,,,,,,,,,,,,,,,,,,,,
C,68,80,67,,,,,,,,,,,,,,,,,,,,,,,,,,
C,83,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0,10,57,,,,,,,,,,,,,,,,,,,,,,,,,,
C,82,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,94,100,64,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,70,20,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,80,52,,,,,,,,,,,,,,,,,,,,,,,,,,
C,82,90,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C,90,100,87,,,,,,,,,,,,,,,,,,,,,,,,,,
C,59,80,67,,,,,,,,,,,,,,,,,,,,,,,,,,
C,67,70,23,,,,,,,,,,,,,,,,,,,,,,,,,,
C,72,80,87,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,60,57,,,,,,,,,,,,,,,,,,,,,,,,,,
C,57,80,44,,,,,,,,,,,,,,,,,,,,,,,,,,
C,64,80,42,,,,,,,,,,,,,,,,,,,,,,,,,,
C,80,90,87,,,,,,,,,,,,,,,,,,,,,,,,,,
C,41,70,46,,,,,,,,,,,,,,,,,,,,,,,,,,
C,43,60,55,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,70,54,,,,,,,,,,,,,,,,,,,,,,,,,,
C,47,50,74,,,,,,,,,,,,,,,,,,,,,,,,,,
C,77,100,61,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,90,40,,,,,,,,,,,,,,,,,,,,,,,,,,
C,81,90,19,,,,,,,,,,,,,,,,,,,,,,,,,,
C,66,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,
C,59,90,73,,,,,,,,,,,,,,,,,,,,,,,,,,
C,75,80,55,,,,,,,,,,,,,,,,,,,,,,,,,,
C,47,60,31,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,52,50,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,35,50,41,,,,,,,,,,,,,,,,,,,,,,,,,,
C,29,50,74,,,,,,,,,,,,,,,,,,,,,,,,,,
C,54,60,69,,,,,,,,,,,,,,,,,,,,,,,,,,
C,57,70,81,,,,,,,,,,,,,,,,,,,,,,,,,,
C,91,100,75,,,,,,,,,,,,,,,,,,,,,,,,,,
C,100,100,84,,,,,,,,,,,,,,,,,,,,,,,,,,
C,65,100,47,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,
C,29,30,78,,,,,,,,,,,,,,,,,,,,,,,,,,
C,91,90,39,,,,,,,,,,,,,,,,,,,,,,,,,,
C,64,90,78,,,,,,,,,,,,,,,,,,,,,,,,,,
C,43,70,51,,,,,,,,,,,,,,,,,,,,,,,,,,
C,54,70,5,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,50,19,,,,,,,,,,,,,,,,,,,,,,,,,,
C,25,50,67,,,,,,,,,,,,,,,,,,,,,,,,,,
C,49,70,97,,,,,,,,,,,,,,,,,,,,,,,,,,
C,86,100,73,,,,,,,,,,,,,,,,,,,,,,,,,,
C,40,40,83,,,,,,,,,,,,,,,,,,,,,,,,,,
C,56,60,41,,,,,,,,,,,,,,,,,,,,,,,,,,
C,99,100,60,,,,,,,,,,,,,,,,,,,,,,,,,,
C,73,100,68,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,60,39,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,90,71,,,,,,,,,,,,,,,,,,,,,,,,,,
C,67,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,100,96,,,,,,,,,,,,,,,,,,,,,,,,,,
C,48,50,35,,,,,,,,,,,,,,,,,,,,,,,,,,
C,68,80,43,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,80,83,,,,,,,,,,,,,,,,,,,,,,,,,,
C,37,60,84,,,,,,,,,,,,,,,,,,,,,,,,,,
C,83,100,48,,,,,,,,,,,,,,,,,,,,,,,,,,
C,35,60,39,,,,,,,,,,,,,,,,,,,,,,,,,,
C,41,60,24,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,60,48,,,,,,,,,,,,,,,,,,,,,,,,,,
C,28,30,98,,,,,,,,,,,,,,,,,,,,,,,,,,
C,63,60,76,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,60,89,,,,,,,,,,,,,,,,,,,,,,,,,,
C,56,60,82,,,,,,,,,,,,,,,,,,,,,,,,,,
