eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
42,31,39,52,54,83,64,90,46,58,80,62,,,,,,42,39,31,64,46,90,58,62,80,52,54,83
60,82,43,79,43,78,73,90,9,41,60,74,,,,,,60,43,82,73,9,90,41,74,60,79,43,78
53,29,84,54,52,89,80,90,37,79,90,100,,,,,,53,84,29,80,37,90,79,122,90,54,52,89
68,95,51,80,84,94,83,90,73,57,80,53,,,,,,68,51,95,83,73,90,57,53,80,80,84,94
74,100,18,87,67,83,73,90,48,66,100,24,,,,,,74,18,102,73,48,90,66,24,100,87,67,83
74,80,80,60,73,100,77,80,49,37,40,43,,,,,,74,80,80,77,49,80,37,43,40,60,73,105
40,28,62,85,64,75,49,60,45,77,90,42,,,,,,40,62,28,49,45,60,77,42,90,85,64,75
87,68,71,73,78,97,72,70,32,47,60,51,,,,,,87,71,68,72,32,70,47,51,60,73,78,97
58,61,34,88,81,87,78,70,62,46,60,49,,,,,,58,34,61,78,62,70,46,49,60,88,81,87
56,16,47,25,76,76,58,70,64,41,70,83,,,,,,56,47,16,58,64,70,41,83,70,25,76,76
98,65,76,38,98,80,68,90,73,73,80,73,,,,,,98,76,65,68,73,90,73,73,80,38,98,80
83,54,83,30,49,100,67,90,82,92,100,35,,,,,,83,83,54,67,82,90,92,35,100,30,49,104
27,37,79,36,54,58,55,70,47,43,60,61,,,,,,27,79,37,55,47,70,43,61,60,36,54,58
64,39,67,85,80,85,64,90,34,90,100,68,,,,,,64,67,39,64,34,90,90,68,120,85,80,85
85,43,79,78,62,65,42,50,89,56,80,27,,,,,,85,79,43,42,89,50,56,27,80,78,62,65
19,19,28,65,66,86,73,70,60,84,100,36,,,,,,19,28,19,73,60,70,84,36,100,65,66,86
16,4,100,78,64,40,35,50,95,59,70,70,,,,,,16,100,4,35,95,50,59,70,70,78,64,40
79,76,85,78,47,31,36,50,26,29,60,100,,,,,,79,85,76,36,26,50,29,101,60,78,47,31
64,63,96,95,55,53,34,50,46,68,90,88,,,,,,64,96,63,34,46,50,68,88,90,95,55,53
87,83,52,77,71,34,17,50,64,44,60,61,,,,,,87,52,83,17,64,50,44,61,60,77,71,34
100,92,75,99,64,83,73,80,49,12,10,76,,,,,,132,75,92,73,49,80,12,76,10,99,64,83
67,41,49,58,68,83,69,100,55,83,100,49,,,,,,67,49,41,69,55,100,83,49,100,58,68,83
38,0,70,56,49,99,67,90,100,74,90,76,,,,,,38,70,-9,67,106,90,74,76,90,56,49,99
89,85,74,62,63,41,20,30,75,84,90,81,,,,,,89,74,85,20,75,30,84,81,90,62,63,41
100,86,20,65,60,72,77,90,84,39,50,67,,,,,,120,20,86,77,84,90,39,67,50,65,60,72
60,35,55,58,44,71,58,70,89,46,60,51,,,,,,60,55,35,58,89,70,46,51,60,58,44,71
49,57,36,62,6,77,36,50,56,53,70,29,,,,,,49,36,57,36,56,50,53,29,70,62,6,77
65,59,61,91,50,58,50,60,63,75,90,25,,,,,,65,61,59,50,63,60,75,25,90,91,50,58
93,78,45,65,48,42,31,60,63,100,100,80,,,,,,93,45,78,31,63,60,114,80,110,65,48,42
73,68,52,63,69,63,41,60,67,72,90,86,,,,,,73,52,68,41,67,60,72,86,90,63,69,63
77,84,100,58,79,70,53,60,51,43,70,74,,,,,,77,110,84,53,51,60,43,74,70,58,79,70
61,74,62,48,80,99,77,80,59,79,90,45,,,,,,61,62,74,77,59,80,79,45,90,48,80,99
46,47,51,56,77,63,59,80,56,46,50,56,,,,,,46,51,47,59,56,80,46,56,50,56,77,63
46,14,93,32,77,80,74,90,66,49,70,78,,,,,,46,93,14,74,66,90,49,78,70,32,77,80
36,41,67,91,59,60,43,70,69,60,90,15,,,,,,36,67,41,43,69,70,60,15,90,91,59,60
47,51,94,55,29,100,86,90,75,46,60,57,,,,,,47,94,51,86,75,90,46,57,60,55,29,107
61,90,58,30,63,100,97,100,70,62,80,85,,,,,,61,58,90,97,70,110,62,85,80,30,63,109
58,36,74,98,51,61,44,40,39,50,80,84,,,,,,58,74,36,44,39,40,50,84,80,98,51,61
43,48,49,54,17,56,44,50,55,58,80,49,,,,,,43,49,48,44,55,50,58,49,80,54,17,56
52,50,56,76,56,77,60,80,52,37,60,47,,,,,,52,56,50,60,52,80,37,47,60,76,56,77
44,9,50,60,53,52,40,50,43,82,90,78,,,,,,44,50,9,40,43,50,82,78,90,60,53,52
47,22,39,40,68,60,49,50,28,74,90,64,,,,,,47,39,22,49,28,50,74,64,90,40,68,60
94,87,47,61,72,71,55,80,12,32,40,88,,,,,,94,47,87,55,12,80,32,88,40,61,72,71
34,34,75,79,69,100,69,90,100,61,60,62,,,,,,34,75,34,69,108,90,61,62,60,79,69,102
65,86,74,69,85,86,72,80,62,68,90,70,,,,,,65,74,86,72,62,80,68,70,90,69,85,86
58,100,67,46,58,100,85,100,53,69,90,49,,,,,,58,67,104,85,53,100,69,49,90,46,58,110
46,8,66,98,63,73,55,60,43,61,80,54,,,,,,46,66,8,55,43,60,61,54,80,98,63,73
86,85,69,67,64,76,50,70,72,71,70,68,,,,,,86,69,85,50,72,70,71,68,70,67,64,76
53,57,81,61,41,80,49,70,88,82,80,75,,,,,,53,81,57,49,88,70,82,75,80,61,41,80
55,45,24,58,33,29,22,50,72,45,50,61,,,,,,55,24,45,22,72,50,45,61,50,58,33,29
61,19,62,43,66,83,69,60,30,98,100,70,,,,,,61,62,19,69,30,60,98,70,110,43,66,83
50,47,66,65,58,60,40,60,74,57,90,77,,,,,,50,66,47,40,74,60,57,77,90,65,58,60
46,77,84,89,55,48,44,60,73,62,80,49,,,,,,46,84,77,44,73,60,62,49,80,89,55,48
53,59,79,60,51,95,89,100,72,60,80,100,,,,,,53,79,59,89,72,100,60,105,80,60,51,95
93,72,28,34,50,100,97,100,36,61,70,69,,,,,,93,28,72,97,36,100,61,69,70,34,50,126
53,65,83,52,78,65,49,60,51,54,80,88,,,,,,53,83,65,49,51,60,54,88,80,52,78,65
43,47,53,79,49,71,61,80,77,56,70,79,,,,,,43,53,47,61,77,80,56,79,70,79,49,71
64,36,42,88,39,96,71,80,63,97,100,70,,,,,,64,42,36,71,63,80,97,70,120,88,39,96
30,30,78,59,52,72,52,50,55,55,50,94,,,,,,30,78,30,52,55,50,55,94,50,59,52,72
94,93,77,56,63,100,100,100,69,51,70,31,,,,,,94,77,93,107,69,110,51,31,70,56,63,111
26,40,71,65,73,75,54,80,79,61,60,72,,,,,,26,71,40,54,79,80,61,72,60,65,73,75
56,27,75,54,43,81,66,90,50,72,90,63,,,,,,56,75,27,66,50,90,72,63,90,54,43,81
58,86,83,70,63,84,68,80,33,87,90,24,,,,,,58,83,86,68,33,80,87,24,90,70,63,84
53,53,49,72,76,100,87,100,26,84,100,56,,,,,,53,49,53,87,26,110,84,56,100,72,76,111
83,68,28,27,57,100,100,100,45,69,80,62,,,,,,83,28,68,101,45,130,69,62,80,27,57,113
63,58,90,65,67,76,60,80,28,81,90,36,,,,,,63,90,58,60,28,80,81,36,90,65,67,76
44,10,32,70,56,81,79,80,67,79,80,89,,,,,,44,32,10,79,67,80,79,89,80,70,56,81
