class_n,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
1,74,77,95,85,52,51,,,,,,74,95,77,35,45,4,55,61,23,85,52,51
1,52,49,44,68,65,100,,,,,,52,44,49,89,57,73,37,23,18,68,65,113
1,69,42,67,39,68,86,,,,,,69,67,42,69,82,50,85,21,58,39,68,86
1,46,77,44,58,36,52,,,,,,46,44,77,57,41,46,87,76,63,58,36,52
1,65,54,75,81,69,72,,,,,,65,75,54,71,89,49,47,74,31,81,69,72
1,72,74,35,62,42,81,,,,,,72,35,74,48,43,32,23,87,30,62,42,81
1,100,100,10,48,31,55,,,,,,102,10,105,26,64,4,64,58,34,48,31,55
1,77,40,100,32,68,95,,,,,,77,104,40,70,9,33,30,69,10,32,68,95
1,64,86,56,100,58,72,,,,,,64,56,86,47,83,37,65,111,48,109,58,72
1,55,64,46,34,50,74,,,,,,55,46,64,57,68,48,57,93,31,34,50,74
1,68,100,63,55,41,83,,,,,,68,63,109,59,51,33,55,55,22,55,41,83
1,12,11,25,68,55,86,,,,,,12,25,11,85,57,43,36,24,12,68,55,86
1,62,28,60,28,52,61,,,,,,62,60,28,49,79,31,76,61,67,28,52,61
1,100,98,74,100,100,85,,,,,,103,74,98,70,58,48,50,49,36,110,105,85
1,58,60,68,53,31,71,,,,,,58,68,60,61,33,26,53,84,40,53,31,71
1,67,57,56,70,47,65,,,,,,67,56,57,60,101,41,61,87,38,70,47,65
1,39,59,48,100,63,37,,,,,,39,48,59,34,79,11,58,66,54,101,63,37
1,51,51,65,41,57,77,,,,,,51,65,51,52,78,32,80,53,52,41,57,77
1,50,67,62,67,94,69,,,,,,50,62,67,52,63,25,55,67,33,67,94,69
1,64,19,42,58,34,87,,,,,,64,42,19,80,62,70,51,69,46,58,34,87
1,67,48,57,85,20,93,,,,,,67,57,48,79,56,54,81,41,49,85,20,93
1,53,55,61,49,50,93,,,,,,53,61,55,93,85,66,50,91,20,49,50,93
1,76,47,88,71,67,59,,,,,,76,88,47,59,50,45,52,55,32,71,67,59
1,36,62,56,61,78,100,,,,,,36,56,62,113,98,81,58,98,24,61,78,111
1,38,36,81,91,81,57,,,,,,38,81,36,47,82,34,46,56,27,91,81,57
1,23,28,59,60,72,63,,,,,,23,59,28,52,64,20,50,50,32,60,72,63
1,73,68,44,52,65,100,,,,,,73,44,68,100,74,95,51,96,34,52,65,130
1,61,48,38,72,52,99,,,,,,61,38,48,100,54,84,42,47,24,72,52,99
1,78,64,59,50,60,77,,,,,,78,59,64,71,29,62,75,64,55,50,60,77
1,91,94,61,81,25,75,,,,,,91,61,94,55,53,46,49,64,41,81,25,75
1,69,85,100,59,73,63,,,,,,69,102,85,46,66,30,32,44,-4,59,73,63
1,70,89,34,92,68,90,,,,,,70,34,89,91,86,79,109,55,86,92,68,90
1,39,0,56,83,100,98,,,,,,39,56,-5,76,40,58,71,102,55,83,104,98
1,74,96,16,53,82,88,,,,,,74,16,96,72,84,75,44,66,44,53,82,88
1,100,100,88,79,67,59,,,,,,103,88,102,61,45,49,54,59,31,79,67,59
1,8,37,59,87,60,68,,,,,,8,59,37,48,38,35,59,56,36,87,60,68
1,45,45,76,39,58,49,,,,,,45,76,45,29,82,14,14,88,-1,39,58,49
1,74,78,48,55,67,51,,,,,,74,48,78,51,98,34,55,89,48,55,67,51
1,8,12,77,62,25,44,,,,,,8,77,12,48,62,17,53,79,33,62,25,44
1,45,41,86,43,61,72,,,,,,45,86,41,43,48,32,56,39,34,43,61,72
1,62,66,100,53,30,89,,,,,,62,102,66,82,65,67,89,89,66,53,30,89
1,40,14,49,97,62,50,,,,,,40,49,14,54,63,25,53,87,25,97,62,50
1,49,46,28,82,64,100,,,,,,49,28,46,86,45,81,54,37,31,82,64,105
1,65,88,79,100,50,82,,,,,,65,79,88,63,64,51,48,81,5,105,50,82
1,49,74,83,69,82,91,,,,,,49,83,74,63,53,49,64,43,51,69,82,91
1,51,52,67,99,76,85,,,,,,51,67,52,78,29,68,79,58,65,99,76,85
1,69,55,69,69,49,72,,,,,,69,69,55,63,59,31,60,22,22,69,49,72
1,18,48,57,54,29,52,,,,,,18,57,48,28,98,2,91,47,72,54,29,52
1,44,85,34,68,70,61,,,,,,44,34,85,40,43,30,23,124,14,68,70,61
1,84,100,42,91,68,66,,,,,,84,42,132,64,82,53,33,67,-6,91,68,66
1,78,74,40,55,48,55,,,,,,78,40,74,39,59,36,47,79,27,55,48,55
1,71,42,47,76,87,67,,,,,,71,47,42,63,67,31,89,77,59,76,87,67
1,59,58,58,65,63,92,,,,,,59,58,58,84,69,52,68,55,54,65,63,92
1,77,70,57,73,62,60,,,,,,77,57,70,39,15,24,37,84,-10,73,62,60
1,42,48,46,89,62,76,,,,,,42,46,48,56,65,41,67,45,41,89,62,76
1,53,86,63,69,85,94,,,,,,53,63,86,83,80,76,11,98,-10,69,85,94
1,55,59,46,72,90,58,,,,,,55,46,59,43,72,26,78,94,65,72,90,58
1,47,45,93,64,55,57,,,,,,47,93,45,66,39,48,76,47,53,64,55,57
1,58,66,62,66,54,74,,,,,,58,62,66,55,54,50,69,44,54,66,54,74
1,28,24,41,81,62,82,,,,,,28,41,24,82,62,74,29,67,16,81,62,82
1,67,79,100,62,100,66,,,,,,67,112,79,42,68,35,74,76,49,62,101,66
1,62,84,64,100,54,99,,,,,,62,64,84,74,50,60,85,35,80,110,54,99
1,73,68,70,69,87,100,,,,,,73,70,68,87,68,79,78,42,56,69,87,100
1,21,12,72,56,53,78,,,,,,21,72,12,68,81,48,64,24,44,56,53,78
1,55,61,39,87,50,94,,,,,,55,39,61,81,61,55,36,57,33,87,50,94
1,59,88,79,72,73,20,,,,,,59,79,88,7,61,-17,57,93,39,72,73,20
1,25,3,89,49,45,71,,,,,,25,89,3,51,32,24,73,93,46,49,45,71
1,68,32,39,93,84,79,,,,,,68,39,32,56,71,46,48,68,41,93,84,79
1,49,41,51,77,73,94,,,,,,49,51,41,92,64,89,62,54,44,77,73,94
1,55,84,35,56,34,78,,,,,,55,35,84,67,52,59,52,68,27,56,34,78
1,61,29,92,74,72,66,,,,,,61,92,29,54,69,20,64,75,42,74,72,66
1,57,56,53,57,51,69,,,,,,57,53,56,38,49,29,74,38,53,57,51,69
1,89,100,72,75,82,79,,,,,,89,72,129,55,2,44,66,36,46,75,82,79
1,59,72,78,62,73,89,,,,,,59,78,72,66,90,65,72,65,46,62,73,89
1,72,86,79,55,81,52,,,,,,72,79,86,47,40,34,45,58,43,55,81,52
2,22,13,58,40,88,31,,,,,,,,,,,,,,,40,88,31
2,23,13,60,92,76,63,,,,,,,,,,,,,,,92,76,63
2,31,19,55,69,91,80,,,,,,,,,,,,,,,69,91,80
2,62,33,73,50,66,31,,,,,,,,,,,,,,,50,66,31
2,87,79,49,74,63,60,,,,,,,,,,,,,,,74,63,60
2,49,50,19,82,100,84,,,,,,,,,,,,,,,82,100,84
2,69,60,60,70,53,100,,,,,,,,,,,,,,,70,53,107
2,87,71,59,65,37,100,,,,,,,,,,,,,,,65,37,102
2,61,17,34,68,55,15,,,,,,,,,,,,,,,68,55,15
2,36,26,62,78,49,64,,,,,,,,,,,,,,,78,49,64
2,46,7,71,76,59,99,,,,,,,,,,,,,,,76,59,99
2,79,72,67,63,67,81,,,,,,,,,,,,,,,63,67,81
2,90,99,100,59,92,35,,,,,,,,,,,,,,,59,92,35
2,60,41,27,53,71,97,,,,,,,,,,,,,,,53,71,97
2,83,54,60,72,42,57,,,,,,,,,,,,,,,72,42,57
2,49,47,37,56,93,76,,,,,,,,,,,,,,,56,93,76
2,73,60,66,46,59,69,,,,,,,,,,,,,,,46,59,69
2,67,36,82,64,100,67,,,,,,,,,,,,,,,64,101,67
2,39,37,56,84,79,78,,,,,,,,,,,,,,,84,79,78
2,89,61,66,57,38,57,,,,,,,,,,,,,,,57,38,57
2,77,58,87,21,62,54,,,,,,,,,,,,,,,21,62,54
2,59,52,59,58,64,28,,,,,,,,,,,,,,,58,64,28
2,56,40,44,57,50,76,,,,,,,,,,,,,,,57,50,76
2,89,53,38,76,100,97,,,,,,,,,,,,,,,76,109,97
2,33,4,83,74,24,71,,,,,,,,,,,,,,,74,24,71
2,35,4,45,62,34,87,,,,,,,,,,,,,,,62,34,87
2,89,73,57,85,100,62,,,,,,,,,,,,,,,85,102,62
2,69,50,82,96,19,100,,,,,,,,,,,,,,,96,19,108
2,57,46,41,75,52,100,,,,,,,,,,,,,,,75,52,115
2,71,49,89,20,66,55,,,,,,,,,,,,,,,20,66,55
2,48,32,43,76,100,49,,,,,,,,,,,,,,,76,103,49
2,26,4,64,61,30,75,,,,,,,,,,,,,,,61,30,75
2,70,33,9,33,66,43,,,,,,,,,,,,,,,33,66,43
2,47,37,83,88,75,91,,,,,,,,,,,,,,,88,75,91
2,57,48,68,63,82,80,,,,,,,,,,,,,,,63,82,80
2,59,33,51,89,42,52,,,,,,,,,,,,,,,89,42,52
2,85,43,57,31,76,61,,,,,,,,,,,,,,,31,76,61
2,49,31,79,60,79,95,,,,,,,,,,,,,,,60,79,95
2,70,48,58,84,61,62,,,,,,,,,,,,,,,84,61,62
2,61,26,33,80,65,50,,,,,,,,,,,,,,,80,65,50
2,60,41,100,58,90,77,,,,,,,,,,,,,,,58,90,77
2,34,11,79,39,54,91,,,,,,,,,,,,,,,39,54,91
2,52,32,78,69,85,100,,,,,,,,,,,,,,,69,85,109
2,52,25,63,31,64,79,,,,,,,,,,,,,,,31,64,79
2,80,70,62,83,52,69,,,,,,,,,,,,,,,83,52,69
2,79,54,56,40,73,95,,,,,,,,,,,,,,,40,73,95
2,93,66,85,82,79,61,,,,,,,,,,,,,,,82,79,61
2,59,45,50,100,68,85,,,,,,,,,,,,,,,104,68,85
2,100,81,98,48,91,76,,,,,,,,,,,,,,,48,91,76
2,47,34,82,61,59,64,,,,,,,,,,,,,,,61,59,64
2,52,20,64,87,63,62,,,,,,,,,,,,,,,87,63,62
2,100,95,74,72,35,69,,,,,,,,,,,,,,,72,35,69
2,100,84,54,82,46,55,,,,,,,,,,,,,,,82,46,55
2,71,62,29,54,55,96,,,,,,,,,,,,,,,54,55,96
2,55,46,53,30,39,72,,,,,,,,,,,,,,,30,39,72
2,46,30,66,80,87,33,,,,,,,,,,,,,,,80,87,33
2,91,79,86,91,76,100,,,,,,,,,,,,,,,91,76,121
2,76,58,40,73,68,77,,,,,,,,,,,,,,,73,68,77
2,72,75,84,72,48,55,,,,,,,,,,,,,,,72,48,55
2,61,49,45,50,36,84,,,,,,,,,,,,,,,50,36,84
2,48,35,38,96,53,52,,,,,,,,,,,,,,,96,53,52
2,29,14,82,62,45,23,,,,,,,,,,,,,,,62,45,23
2,51,34,98,77,48,76,,,,,,,,,,,,,,,77,48,76
2,48,17,62,43,61,73,,,,,,,,,,,,,,,43,61,73
2,43,32,48,85,33,81,,,,,,,,,,,,,,,85,33,81
2,82,67,65,88,78,90,,,,,,,,,,,,,,,88,78,90
2,54,25,63,77,73,72,,,,,,,,,,,,,,,77,73,72
2,86,81,45,71,69,65,,,,,,,,,,,,,,,71,69,65
2,63,51,64,90,85,62,,,,,,,,,,,,,,,90,85,62
2,63,49,53,90,77,73,,,,,,,,,,,,,,,90,77,73
2,78,68,29,58,62,98,,,,,,,,,,,,,,,58,62,98
2,63,31,59,73,51,76,,,,,,,,,,,,,,,73,51,76
2,28,2,98,83,76,100,,,,,,,,,,,,,,,83,76,109
2,40,30,43,56,73,19,,,,,,,,,,,,,,,56,73,19
2,64,53,82,42,41,29,,,,,,,,,,,,,,,42,41,29
2,39,36,59,47,74,67,,,,,,,,,,,,,,,47,74,67
2,63,31,67,57,76,96,,,,,,,,,,,,,,,57,76,96
2,84,52,69,53,14,74,,,,,,,,,,,,,,,53,14,74
2,39,24,15,89,71,51,,,,,,,,,,,,,,,89,71,51
2,56,41,65,72,43,70,,,,,,,,,,,,,,,72,43,70
2,83,76,80,91,71,20,,,,,,,,,,,,,,,91,71,20
2,43,26,72,62,77,94,,,,,,,,,,,,,,,62,77,94
2,66,48,39,59,16,96,,,,,,,,,,,,,,,59,16,96
2,55,50,54,44,31,100,,,,,,,,,,,,,,,44,31,102
2,82,74,62,50,38,46,,,,,,,,,,,,,,,50,38,46
2,42,35,68,55,59,94,,,,,,,,,,,,,,,55,59,94
2,74,60,50,93,58,100,,,,,,,,,,,,,,,93,58,111
2,87,79,68,87,85,79,,,,,,,,,,,,,,,87,85,79
2,68,48,81,66,77,71,,,,,,,,,,,,,,,66,77,71
2,81,55,61,64,8,56,,,,,,,,,,,,,,,64,8,56
2,7,0,61,61,82,78,,,,,,,,,,,,,,,61,82,78
2,51,24,32,73,60,92,,,,,,,,,,,,,,,73,60,92
2,56,46,71,73,87,66,,,,,,,,,,,,,,,73,87,66
2,92,89,64,90,38,79,,,,,,,,,,,,,,,90,38,79
2,67,59,52,29,61,63,,,,,,,,,,,,,,,29,61,63
2,54,20,69,67,79,77,,,,,,,,,,,,,,,67,79,77
2,38,29,49,66,66,83,,,,,,,,,,,,,,,66,66,83
2,55,44,2,36,44,85,,,,,,,,,,,,,,,36,44,85
2,66,65,90,74,68,75,,,,,,,,,,,,,,,74,68,75
2,47,34,40,52,56,66,,,,,,,,,,,,,,,52,56,66
3,36,14,70,68,88,8,,,,,,,,,,,,,,,68,88,8
3,48,31,100,76,68,24,,,,,,,,,,,,,,,76,68,24
3,79,44,58,30,31,13,,,,,,,,,,,,,,,30,31,13
3,24,9,86,25,74,21,,,,,,,,,,,,,,,25,74,21
3,48,7,89,52,62,16,,,,,,,,,,,,,,,52,62,16
3,78,33,41,68,78,29,,,,,,,,,,,,,,,68,78,29
3,72,57,81,100,88,17,,,,,,,,,,,,,,,101,88,17
3,93,70,68,79,35,27,,,,,,,,,,,,,,,79,35,27
3,3,0,72,86,38,23,,,,,,,,,,,,,,,86,38,23
3,52,31,91,81,84,23,,,,,,,,,,,,,,,81,84,23
3,74,54,70,39,60,6,,,,,,,,,,,,,,,39,60,6
3,53,34,38,100,75,27,,,,,,,,,,,,,,,108,75,27
3,36,6,54,58,63,17,,,,,,,,,,,,,,,58,63,17
3,80,63,66,93,93,24,,,,,,,,,,,,,,,93,93,24
3,61,40,82,61,67,23,,,,,,,,,,,,,,,61,67,23
3,61,41,57,85,69,21,,,,,,,,,,,,,,,85,69,21
3,51,4,55,55,67,15,,,,,,,,,,,,,,,55,67,15
3,45,33,87,93,32,28,,,,,,,,,,,,,,,93,32,28
3,62,41,85,61,46,19,,,,,,,,,,,,,,,61,46,19
3,28,11,60,54,48,33,,,,,,,,,,,,,,,54,48,33
3,46,22,47,75,60,20,,,,,,,,,,,,,,,75,60,20
3,7,3,43,47,66,25,,,,,,,,,,,,,,,47,66,25
3,67,32,25,80,77,10,,,,,,,,,,,,,,,80,77,10
3,86,59,27,64,72,23,,,,,,,,,,,,,,,64,72,23
3,61,28,61,72,67,31,,,,,,,,,,,,,,,72,67,31
3,55,23,61,66,61,25,,,,,,,,,,,,,,,66,61,25
3,37,18,23,56,64,20,,,,,,,,,,,,,,,56,64,20
3,85,58,21,45,64,9,,,,,,,,,,,,,,,45,64,9
3,87,63,76,100,37,26,,,,,,,,,,,,,,,111,37,26
3,47,31,74,58,84,37,,,,,,,,,,,,,,,58,84,37
3,23,30,87,69,92,14,,,,,,,,,,,,,,,69,92,14
3,64,34,58,52,43,30,,,,,,,,,,,,,,,52,43,30
3,30,10,69,46,58,23,,,,,,,,,,,,,,,46,58,23
3,65,48,100,61,76,22,,,,,,,,,,,,,,,61,76,22
3,57,31,93,38,81,16,,,,,,,,,,,,,,,38,81,16
3,55,22,55,49,52,26,,,,,,,,,,,,,,,49,52,26
3,36,12,24,92,50,11,,,,,,,,,,,,,,,92,50,11
3,76,67,61,72,52,12,,,,,,,,,,,,,,,72,52,12
3,50,36,49,54,60,10,,,,,,,,,,,,,,,54,60,10
3,53,40,84,72,92,8,,,,,,,,,,,,,,,72,92,8
3,61,38,87,47,46,12,,,,,,,,,,,,,,,47,46,12
3,58,54,66,100,67,23,,,,,,,,,,,,,,,103,67,23
3,80,52,53,40,80,29,,,,,,,,,,,,,,,40,80,29
3,55,33,67,28,78,8,,,,,,,,,,,,,,,28,78,8
3,51,46,69,34,29,4,,,,,,,,,,,,,,,34,29,4
3,81,49,41,90,37,13,,,,,,,,,,,,,,,90,37,13
3,50,20,91,49,51,13,,,,,,,,,,,,,,,49,51,13
3,52,32,55,58,27,8,,,,,,,,,,,,,,,58,27,8
3,58,24,98,51,70,29,,,,,,,,,,,,,,,51,70,29
3,46,27,56,82,72,33,,,,,,,,,,,,,,,82,72,33
3,50,32,50,73,80,26,,,,,,,,,,,,,,,73,80,26
3,51,34,96,63,30,25,,,,,,,,,,,,,,,63,30,25
3,42,24,47,62,25,13,,,,,,,,,,,,,,,62,25,13
3,75,55,64,87,43,36,,,,,,,,,,,,,,,87,43,36
3,49,41,64,20,93,38,,,,,,,,,,,,,,,20,93,38
3,32,0,44,76,46,4,,,,,,,,,,,,,,,76,46,4
3,100,86,55,49,51,10,,,,,,,,,,,,,,,49,51,10
3,71,55,100,62,0,11,,,,,,,,,,,,,,,62,-6,11
3,44,44,66,74,63,18,,,,,,,,,,,,,,,74,63,18
3,54,31,59,67,60,21,,,,,,,,,,,,,,,67,60,21
3,59,36,56,42,58,32,,,,,,,,,,,,,,,42,58,32
3,14,0,88,73,62,17,,,,,,,,,,,,,,,73,62,17
3,55,48,89,69,36,12,,,,,,,,,,,,,,,69,36,12
3,53,33,79,49,87,45,,,,,,,,,,,,,,,49,87,45
3,56,34,39,75,22,43,,,,,,,,,,,,,,,75,22,43
3,89,66,89,100,68,18,,,,,,,,,,,,,,,110,68,18
3,53,25,87,66,100,22,,,,,,,,,,,,,,,66,121,22
3,54,31,37,71,81,20,,,,,,,,,,,,,,,71,81,20
3,48,5,81,89,14,19,,,,,,,,,,,,,,,89,14,19
3,64,51,43,86,14,43,,,,,,,,,,,,,,,86,14,43
3,79,65,58,72,54,25,,,,,,,,,,,,,,,72,54,25
3,60,22,22,77,77,29,,,,,,,,,,,,,,,77,77,29
3,91,72,47,33,100,29,,,,,,,,,,,,,,,33,107,29
3,23,14,100,77,39,35,,,,,,,,,,,,,,,77,39,35
3,33,0,67,91,55,0,,,,,,,,,,,,,,,91,55,-2
3,47,27,79,78,65,26,,,,,,,,,,,,,,,78,65,26
3,89,59,77,66,65,22,,,,,,,,,,,,,,,66,65,22
3,68,54,55,55,62,22,,,,,,,,,,,,,,,55,62,22
3,37,0,84,87,58,25,,,,,,,,,,,,,,,87,58,25
3,67,41,45,80,57,34,,,,,,,,,,,,,,,80,57,34
3,11,0,98,76,55,12,,,,,,,,,,,,,,,76,55,12
3,78,65,94,71,51,5,,,,,,,,,,,,,,,71,51,5
3,76,53,47,52,79,14,,,,,,,,,,,,,,,52,79,14
3,69,54,44,49,51,0,,,,,,,,,,,,,,,49,51,-2
3,29,16,67,66,81,8,,,,,,,,,,,,,,,66,81,8
3,74,49,76,49,68,25,,,,,,,,,,,,,,,49,68,25
3,85,80,35,46,67,14,,,,,,,,,,,,,,,46,67,14
3,78,56,42,72,73,35,,,,,,,,,,,,,,,72,73,35
3,64,44,24,67,74,20,,,,,,,,,,,,,,,67,74,20
3,36,33,57,64,67,7,,,,,,,,,,,,,,,64,67,7
3,57,39,93,78,76,29,,,,,,,,,,,,,,,78,76,29
3,73,46,93,51,91,22,,,,,,,,,,,,,,,51,91,22
3,48,41,68,57,36,20,,,,,,,,,,,,,,,57,36,20
3,62,44,54,37,86,20,,,,,,,,,,,,,,,37,86,20
3,52,27,68,84,38,16,,,,,,,,,,,,,,,84,38,16
3,64,42,75,84,54,12,,,,,,,,,,,,,,,84,54,12
3,74,53,38,49,69,21,,,,,,,,,,,,,,,49,69,21
3,66,46,36,70,64,23,,,,,,,,,,,,,,,70,64,23
3,72,46,65,82,93,28,,,,,,,,,,,,,,,82,93,28
3,45,43,58,100,53,18,,,,,,,,,,,,,,,110,53,18
