class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,61,46,100,51,74,52,,,,,,61,107,46,44,46,21,32,67,5,51,74,52
A,56,55,90,81,78,81,,,,,,56,90,55,84,71,57,55,99,30,81,78,81
A,68,43,58,68,69,100,,,,,,68,58,43,91,76,85,76,89,52,68,69,124
A,65,79,52,87,55,93,,,,,,65,52,79,78,63,61,95,40,82,87,55,93
A,70,100,19,74,35,93,,,,,,70,19,103,79,79,62,61,72,39,74,35,93
A,50,91,55,66,45,74,,,,,,50,55,91,48,72,28,67,81,46,66,45,74
A,83,56,30,85,51,63,,,,,,83,30,56,42,34,31,76,56,39,85,51,63
A,70,80,82,56,60,46,,,,,,70,82,80,32,56,18,65,65,40,56,60,46
A,77,57,79,35,79,81,,,,,,77,79,57,66,74,40,79,48,49,35,79,81
A,56,33,40,54,44,73,,,,,,56,40,33,54,66,49,66,114,35,54,44,73
A,48,78,94,81,61,74,,,,,,48,94,78,53,16,36,32,73,6,81,61,74
A,30,32,62,45,62,98,,,,,,30,62,32,97,51,81,99,17,76,45,62,98
A,84,74,58,34,69,91,,,,,,84,58,74,61,95,58,35,57,1,34,69,91
A,100,100,93,71,32,35,,,,,,100,93,101,27,70,-5,66,81,43,71,32,35
A,65,53,42,70,63,61,,,,,,65,42,53,46,57,19,48,58,34,70,63,61
A,50,70,35,85,26,79,,,,,,50,35,70,56,97,52,58,56,42,85,26,79
A,68,74,57,86,60,100,,,,,,68,57,74,95,78,78,68,72,53,86,60,115
A,62,32,87,68,81,70,,,,,,62,87,32,85,23,79,55,93,40,68,81,70
A,53,43,50,64,50,53,,,,,,53,50,43,38,34,19,90,77,63,64,50,53
A,75,69,74,45,53,100,,,,,,75,74,69,81,16,40,62,85,20,45,53,106
A,100,79,3,66,66,45,,,,,,106,3,79,31,68,22,41,71,28,66,66,45
A,68,88,41,69,100,49,,,,,,68,41,88,45,70,5,62,100,41,69,104,49
A,40,16,37,88,68,81,,,,,,40,37,16,79,65,54,15,77,2,88,68,81
B,58,30,19,,,,,,,,,,,,,,,,,,,,
B,85,54,58,,,,,,,,,,,,,,,,,,,,
B,80,69,79,,,,,,,,,,,,,,,,,,,,
B,22,8,46,,,,,,,,,,,,,,,,,,,,
B,36,44,51,,,,,,,,,,,,,,,,,,,,
B,0,14,54,,,,,,,,,,,,,,,,,,,,
B,41,22,66,,,,,,,,,,,,,,,,,,,,
B,69,46,47,,,,,,,,,,,,,,,,,,,,
B,67,43,11,,,,,,,,,,,,,,,,,,,,
B,100,67,76,,,,,,,,,,,,,,,,,,,,
B,46,51,69,,,,,,,,,,,,,,,,,,,,
B,94,73,74,,,,,,,,,,,,,,,,,,,,
B,22,21,89,,,,,,,,,,,,,,,,,,,,
B,73,52,44,,,,,,,,,,,,,,,,,,,,
B,79,68,88,,,,,,,,,,,,,,,,,,,,
B,97,89,47,,,,,,,,,,,,,,,,,,,,
B,89,84,47,,,,,,,,,,,,,,,,,,,,
B,51,44,100,,,,,,,,,,,,,,,,,,,,
B,84,78,33,,,,,,,,,,,,,,,,,,,,
B,57,50,52,,,,,,,,,,,,,,,,,,,,
B,29,2,76,,,,,,,,,,,,,,,,,,,,
B,72,52,67,,,,,,,,,,,,,,,,,,,,
B,60,56,68,,,,,,,,,,,,,,,,,,,,
B,69,44,76,,,,,,,,,,,,,,,,,,,,
B,86,84,54,,,,,,,,,,,,,,,,,,,,
B,55,25,70,,,,,,,,,,,,,,,,,,,,
B,37,9,72,,,,,,,,,,,,,,,,,,,,
B,85,75,64,,,,,,,,,,,,,,,,,,,,
B,54,29,45,,,,,,,,,,,,,,,,,,,,
B,63,42,42,,,,,,,,,,,,,,,,,,,,
B,39,28,0,,,,,,,,,,,,,,,,,,,,
B,69,41,32,,,,,,,,,,,,,,,,,,,,
B,43,32,63,,,,,,,,,,,,,,,,,,,,
B,63,36,60,,,,,,,,,,,,,,,,,,,,
B,50,39,48,,,,,,,,,,,,,,,,,,,,
B,81,54,31,,,,,,,,,,,,,,,,,,,,
B,74,49,34,,,,,,,,,,,,,,,,,,,,
B,100,64,31,,,,,,,,,,,,,,,,,,,,
B,61,46,78,,,,,,,,,,,,,,,,,,,,
B,39,29,68,,,,,,,,,,,,,,,,,,,,
B,58,37,47,,,,,,,,,,,,,,,,,,,,
B,50,37,64,,,,,,,,,,,,,,,,,,,,
B,53,37,65,,,,,,,,,,,,,,,,,,,,
B,33,29,95,,,,,,,,,,,,,,,,,,,,
B,81,54,50,,,,,,,,,,,,,,,,,,,,
B,53,40,68,,,,,,,,,,,,,,,,,,,,
B,75,48,74,,,,,,,,,,,,,,,,,,,,
B,77,56,59,,,,,,,,,,,,,,,,,,,,
B,73,55,71,,,,,,,,,,,,,,,,,,,,
B,62,62,64,,,,,,,,,,,,,,,,,,,,
B,56,35,40,,,,,,,,,,,,,,,,,,,,
B,83,70,24,,,,,,,,,,,,,,,,,,,,
B,65,55,23,,,,,,,,,,,,,,,,,,,,
B,69,76,57,,,,,,,,,,,,,,,,,,,,
B,80,65,76,,,,,,,,,,,,,,,,,,,,
B,92,70,36,,,,,,,,,,,,,,,,,,,,
B,62,51,56,,,,,,,,,,,,,,,,,,,,
B,14,4,72,,,,,,,,,,,,,,,,,,,,
B,51,47,51,,,,,,,,,,,,,,,,,,,,
B,52,18,77,,,,,,,,,,,,,,,,,,,,
B,51,32,28,,,,,,,,,,,,,,,,,,,,
B,66,58,30,,,,,,,,,,,,,,,,,,,,
B,58,29,56,,,,,,,,,,,,,,,,,,,,
B,52,31,62,,,,,,,,,,,,,,,,,,,,
B,32,25,66,,,,,,,,,,,,,,,,,,,,
B,88,59,100,,,,,,,,,,,,,,,,,,,,
B,43,25,64,,,,,,,,,,,,,,,,,,,,
B,100,69,52,,,,,,,,,,,,,,,,,,,,
B,41,35,32,,,,,,,,,,,,,,,,,,,,
B,16,0,32,,,,,,,,,,,,,,,,,,,,
B,87,84,52,,,,,,,,,,,,,,,,,,,,
B,84,59,46,,,,,,,,,,,,,,,,,,,,
B,69,59,44,,,,,,,,,,,,,,,,,,,,
B,42,14,100,,,,,,,,,,,,,,,,,,,,
B,60,34,45,,,,,,,,,,,,,,,,,,,,
B,69,56,82,,,,,,,,,,,,,,,,,,,,
B,74,57,28,,,,,,,,,,,,,,,,,,,,
B,44,21,46,,,,,,,,,,,,,,,,,,,,
B,84,57,71,,,,,,,,,,,,,,,,,,,,
B,91,85,76,,,,,,,,,,,,,,,,,,,,
B,78,61,63,,,,,,,,,,,,,,,,,,,,
B,79,62,79,,,,,,,,,,,,,,,,,,,,
B,48,28,72,,,,,,,,,,,,,,,,,,,,
B,42,31,34,,,,,,,,,,,,,,,,,,,,
B,32,18,56,,,,,,,,,,,,,,,,,,,,
B,66,40,74,,,,,,,,,,,,,,,,,,,,
B,54,49,66,,,,,,,,,,,,,,,,,,,,
B,53,36,16,,,,,,,,,,,,,,,,,,,,
B,97,81,51,,,,,,,,,,,,,,,,,,,,
B,61,58,95,,,,,,,,,,,,,,,,,,,,
B,27,0,70,,,,,,,,,,,,,,,,,,,,
B,46,19,57,,,,,,,,,,,,,,,,,,,,
B,56,52,97,,,,,,,,,,,,,,,,,,,,
B,95,78,78,,,,,,,,,,,,,,,,,,,,
B,85,79,23,,,,,,,,,,,,,,,,,,,,
B,38,19,34,,,,,,,,,,,,,,,,,,,,
B,81,40,16,,,,,,,,,,,,,,,,,,,,
B,31,22,68,,,,,,,,,,,,,,,,,,,,
B,45,5,70,,,,,,,,,,,,,,,,,,,,
B,79,54,65,,,,,,,,,,,,,,,,,,,,
C,59,43,50,,,,,,,,,,,,,,,,,,,,
C,63,46,41,,,,,,,,,,,,,,,,,,,,
C,70,59,54,,,,,,,,,,,,,,,,,,,,
C,61,58,32,,,,,,,,,,,,,,,,,,,,
C,33,15,31,,,,,,,,,,,,,,,,,,,,
C,55,28,44,,,,,,,,,,,,,,,,,,,,
C,70,51,40,,,,,,,,,,,,,,,,,,,,
C,36,18,76,,,,,,,,,,,,,,,,,,,,
C,61,32,78,,,,,,,,,,,,,,,,,,,,
C,38,23,80,,,,,,,,,,,,,,,,,,,,
C,82,61,55,,,,,,,,,,,,,,,,,,,,
C,63,32,32,,,,,,,,,,,,,,,,,,,,
C,66,57,67,,,,,,,,,,,,,,,,,,,,
C,52,33,68,,,,,,,,,,,,,,,,,,,,
C,60,35,91,,,,,,,,,,,,,,,,,,,,
C,53,37,99,,,,,,,,,,,,,,,,,,,,
C,61,42,45,,,,,,,,,,,,,,,,,,,,
C,66,44,66,,,,,,,,,,,,,,,,,,,,
C,59,43,44,,,,,,,,,,,,,,,,,,,,
C,45,0,52,,,,,,,,,,,,,,,,,,,,
C,37,32,58,,,,,,,,,,,,,,,,,,,,
C,86,79,68,,,,,,,,,,,,,,,,,,,,
C,60,55,69,,,,,,,,,,,,,,,,,,,,
C,64,23,84,,,,,,,,,,,,,,,,,,,,
C,80,62,62,,,,,,,,,,,,,,,,,,,,
C,52,42,16,,,,,,,,,,,,,,,,,,,,
C,71,48,87,,,,,,,,,,,,,,,,,,,,
C,60,39,33,,,,,,,,,,,,,,,,,,,,
C,74,43,63,,,,,,,,,,,,,,,,,,,,
C,53,47,43,,,,,,,,,,,,,,,,,,,,
C,70,47,57,,,,,,,,,,,,,,,,,,,,
C,90,63,34,,,,,,,,,,,,,,,,,,,,
C,49,24,63,,,,,,,,,,,,,,,,,,,,
C,64,54,31,,,,,,,,,,,,,,,,,,,,
C,62,40,59,,,,,,,,,,,,,,,,,,,,
C,64,29,57,,,,,,,,,,,,,,,,,,,,
C,62,33,31,,,,,,,,,,,,,,,,,,,,
C,80,55,53,,,,,,,,,,,,,,,,,,,,
C,52,28,100,,,,,,,,,,,,,,,,,,,,
C,58,31,63,,,,,,,,,,,,,,,,,,,,
C,36,15,12,,,,,,,,,,,,,,,,,,,,
C,58,23,84,,,,,,,,,,,,,,,,,,,,
C,80,53,19,,,,,,,,,,,,,,,,,,,,
C,61,39,62,,,,,,,,,,,,,,,,,,,,
C,59,20,84,,,,,,,,,,,,,,,,,,,,
C,38,15,52,,,,,,,,,,,,,,,,,,,,
C,58,43,87,,,,,,,,,,,,,,,,,,,,
C,53,17,8,,,,,,,,,,,,,,,,,,,,
C,74,46,57,,,,,,,,,,,,,,,,,,,,
C,73,61,62,,,,,,,,,,,,,,,,,,,,
C,92,53,42,,,,,,,,,,,,,,,,,,,,
C,73,55,55,,,,,,,,,,,,,,,,,,,,
C,69,34,63,,,,,,,,,,,,,,,,,,,,
C,31,13,76,,,,,,,,,,,,,,,,,,,,
C,79,64,28,,,,,,,,,,,,,,,,,,,,
C,42,28,60,,,,,,,,,,,,,,,,,,,,
C,28,10,41,,,,,,,,,,,,,,,,,,,,
C,44,30,26,,,,,,,,,,,,,,,,,,,,
C,61,31,97,,,,,,,,,,,,,,,,,,,,
C,72,61,88,,,,,,,,,,,,,,,,,,,,
C,57,48,72,,,,,,,,,,,,,,,,,,,,
C,37,2,70,,,,,,,,,,,,,,,,,,,,
C,83,57,74,,,,,,,,,,,,,,,,,,,,
C,29,36,57,,,,,,,,,,,,,,,,,,,,
C,78,51,97,,,,,,,,,,,,,,,,,,,,
C,79,54,53,,,,,,,,,,,,,,,,,,,,
C,43,24,45,,,,,,,,,,,,,,,,,,,,
C,88,69,68,,,,,,,,,,,,,,,,,,,,
C,74,72,36,,,,,,,,,,,,,,,,,,,,
C,61,28,66,,,,,,,,,,,,,,,,,,,,
C,58,29,51,,,,,,,,,,,,,,,,,,,,
C,37,16,51,,,,,,,,,,,,,,,,,,,,
C,53,33,83,,,,,,,,,,,,,,,,,,,,
C,14,11,60,,,,,,,,,,,,,,,,,,,,
C,59,47,38,,,,,,,,,,,,,,,,,,,,
C,41,14,61,,,,,,,,,,,,,,,,,,,,
C,87,63,97,,,,,,,,,,,,,,,,,,,,
C,32,5,67,,,,,,,,,,,,,,,,,,,,
C,55,30,99,,,,,,,,,,,,,,,,,,,,
C,76,52,89,,,,,,,,,,,,,,,,,,,,
C,95,82,40,,,,,,,,,,,,,,,,,,,,
C,61,39,72,,,,,,,,,,,,,,,,,,,,
C,67,46,81,,,,,,,,,,,,,,,,,,,,
C,76,39,56,,,,,,,,,,,,,,,,,,,,
C,65,40,65,,,,,,,,,,,,,,,,,,,,
C,79,49,48,,,,,,,,,,,,,,,,,,,,
C,66,35,100,,,,,,,,,,,,,,,,,,,,
C,32,6,73,,,,,,,,,,,,,,,,,,,,
C,99,76,17,,,,,,,,,,,,,,,,,,,,
C,35,1,57,,,,,,,,,,,,,,,,,,,,
C,66,43,81,,,,,,,,,,,,,,,,,,,,
C,48,34,58,,,,,,,,,,,,,,,,,,,,
C,58,42,56,,,,,,,,,,,,,,,,,,,,
C,68,53,72,,,,,,,,,,,,,,,,,,,,
C,55,40,93,,,,,,,,,,,,,,,,,,,,
C,90,63,77,,,,,,,,,,,,,,,,,,,,
C,62,20,85,,,,,,,,,,,,,,,,,,,,
C,41,28,71,,,,,,,,,,,,,,,,,,,,
C,62,41,100,,,,,,,,,,,,,,,,,,,,
C,15,2,77,,,,,,,,,,,,,,,,,,,,
