class,eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,78,73,58,62,100,52,,,,,,,,,,,,78,58,73,47,48,70,73,77,70,62,110,52
A,49,19,32,100,46,100,,,,,,,,,,,,49,32,19,107,47,110,76,63,80,111,46,100
A,60,26,48,28,96,82,,,,,,,,,,,,60,48,26,69,58,80,85,28,80,28,96,82
A,62,55,88,89,76,84,,,,,,,,,,,,62,88,55,61,58,60,71,54,80,89,76,84
A,37,53,63,54,80,64,,,,,,,,,,,,37,63,53,42,90,70,54,56,50,54,80,64
A,84,100,73,52,65,50,,,,,,,,,,,,84,73,106,39,74,50,53,58,60,52,65,50
A,82,61,35,100,75,100,,,,,,,,,,,,82,35,61,98,53,100,69,63,80,129,75,118
A,73,76,42,79,28,86,,,,,,,,,,,,73,42,76,66,43,50,50,41,80,79,28,86
A,62,19,72,55,61,90,,,,,,,,,,,,62,72,19,67,73,80,75,40,100,55,61,90
A,31,21,88,78,25,72,,,,,,,,,,,,31,88,21,72,51,100,41,80,50,78,25,72
A,63,74,65,61,50,80,,,,,,,,,,,,63,65,74,69,39,100,58,45,80,61,50,80
A,39,58,50,24,59,100,,,,,,,,,,,,39,50,58,122,90,110,61,74,80,24,59,103
A,34,47,73,89,73,71,,,,,,,,,,,,34,73,47,36,59,50,60,43,70,89,73,71
A,42,6,39,52,100,56,,,,,,,,,,,,42,39,6,51,43,70,59,71,80,52,109,56
A,38,15,49,49,22,100,,,,,,,,,,,,38,49,15,92,82,90,36,89,70,49,22,107
A,69,46,72,59,51,100,,,,,,,,,,,,69,72,46,94,63,110,64,81,70,59,51,101
A,10,0,17,63,65,100,,,,,,,,,,,,10,17,-17,93,101,100,50,67,60,63,65,102
A,61,56,48,72,76,58,,,,,,,,,,,,61,48,56,41,78,50,58,77,70,72,76,58
A,71,77,36,93,64,44,,,,,,,,,,,,71,36,77,26,64,50,41,65,40,93,64,44
A,48,51,34,88,43,68,,,,,,,,,,,,48,34,51,58,79,60,86,106,100,88,43,68
A,81,71,75,44,21,100,,,,,,,,,,,,81,75,71,90,69,100,70,80,90,44,21,121
A,54,32,51,83,29,49,,,,,,,,,,,,54,51,32,46,36,60,13,49,20,83,29,49
A,46,27,59,67,33,82,,,,,,,,,,,,46,59,27,51,60,70,54,35,70,67,33,82
A,37,51,100,93,70,79,,,,,,,,,,,,37,101,51,64,54,100,50,44,80,93,70,79
A,69,61,77,39,48,82,,,,,,,,,,,,69,77,61,57,51,70,70,54,80,39,48,82
A,22,0,94,49,93,75,,,,,,,,,,,,22,94,-6,55,86,60,58,90,70,49,93,75
A,73,48,30,89,41,66,,,,,,,,,,,,73,30,48,48,87,60,56,32,70,89,41,66
A,35,35,71,63,52,100,,,,,,,,,,,,35,71,35,72,62,100,62,89,80,63,52,104
A,38,0,73,65,57,68,,,,,,,,,,,,38,73,-3,39,21,60,88,75,100,65,57,68
A,52,45,19,53,51,84,,,,,,,,,,,,52,19,45,83,72,110,50,84,80,53,51,84
A,53,11,95,68,63,61,,,,,,,,,,,,53,95,11,44,53,70,47,83,70,68,63,61
A,58,76,49,77,30,100,,,,,,,,,,,,58,49,76,78,70,80,45,107,50,77,30,100
A,55,35,67,83,59,44,,,,,,,,,,,,55,67,35,45,44,60,77,66,100,83,59,44
A,82,100,76,59,80,84,,,,,,,,,,,,82,76,116,50,61,80,96,23,100,59,80,84
A,72,71,39,94,61,51,,,,,,,,,,,,72,39,71,32,73,40,48,56,50,94,61,51
A,69,74,52,63,73,79,,,,,,,,,,,,69,52,74,65,102,90,87,90,110,63,73,79
A,75,77,53,57,73,65,,,,,,,,,,,,75,53,77,40,47,50,27,50,50,57,73,65
A,74,67,80,77,81,47,,,,,,,,,,,,74,80,67,38,57,70,88,23,120,77,81,47
A,89,73,76,80,75,87,,,,,,,,,,,,89,76,73,59,70,70,62,37,80,80,75,87
A,15,0,37,79,47,79,,,,,,,,,,,,15,37,-7,67,71,80,83,48,90,79,47,79
A,70,48,80,67,80,28,,,,,,,,,,,,70,80,48,23,65,40,18,73,50,67,80,28
A,62,69,56,86,40,100,,,,,,,,,,,,62,56,69,80,51,90,60,58,80,86,40,101
A,75,69,64,27,28,50,,,,,,,,,,,,75,64,69,30,104,40,80,32,90,27,28,50
A,70,70,87,54,64,83,,,,,,,,,,,,70,87,70,51,62,60,69,83,80,54,64,83
A,39,48,65,77,46,71,,,,,,,,,,,,39,65,48,64,80,70,45,43,50,77,46,71
A,54,65,66,100,34,87,,,,,,,,,,,,54,66,65,56,68,80,39,37,60,101,34,87
A,33,36,73,42,88,90,,,,,,,,,,,,33,73,36,64,55,70,51,71,50,42,88,90
A,90,100,91,85,57,100,,,,,,,,,,,,90,91,137,94,77,110,64,78,70,85,57,105
A,40,25,61,85,60,57,,,,,,,,,,,,40,61,25,51,67,80,46,77,60,85,60,57
A,79,80,59,91,58,49,,,,,,,,,,,,79,59,80,43,77,60,57,69,70,91,58,49
A,43,47,56,67,45,73,,,,,,,,,,,,43,56,47,55,76,70,65,84,90,67,45,73
A,85,58,91,78,38,71,,,,,,,,,,,,85,91,58,53,68,50,97,81,100,78,38,71
A,47,29,17,49,99,100,,,,,,,,,,,,47,17,29,80,66,80,65,101,90,49,99,105
A,100,72,40,97,58,83,,,,,,,,,,,,110,40,72,72,39,90,76,51,100,97,58,83
A,73,49,78,74,44,72,,,,,,,,,,,,73,78,49,51,64,70,42,26,50,74,44,72
A,26,19,55,61,74,87,,,,,,,,,,,,26,55,19,81,46,100,55,68,80,61,74,87
A,79,45,86,67,34,41,,,,,,,,,,,,79,86,45,41,76,50,46,56,60,67,34,41
A,54,55,43,51,43,97,,,,,,,,,,,,54,43,55,72,57,80,96,52,120,51,43,97
A,42,48,44,58,77,79,,,,,,,,,,,,42,44,48,77,100,70,89,36,100,58,77,79
A,73,53,100,72,56,92,,,,,,,,,,,,73,102,53,101,40,120,60,60,80,72,56,92
A,36,64,4,93,69,100,,,,,,,,,,,,36,4,64,85,50,100,51,106,70,93,69,103
A,29,15,68,42,57,76,,,,,,,,,,,,29,68,15,62,58,90,56,59,60,42,57,76
A,40,59,100,62,64,61,,,,,,,,,,,,40,111,59,45,69,70,64,66,100,62,64,61
A,33,48,57,37,48,46,,,,,,,,,,,,33,57,48,27,104,50,77,81,100,37,48,46
A,55,73,70,51,93,100,,,,,,,,,,,,55,70,73,85,76,90,94,53,90,51,93,100
A,75,80,80,37,98,69,,,,,,,,,,,,75,80,80,52,67,70,40,53,60,37,98,69
A,37,45,74,80,65,100,,,,,,,,,,,,37,74,45,81,49,90,32,65,50,80,65,113
A,39,4,74,78,53,100,,,,,,,,,,,,39,74,4,74,66,80,52,56,70,78,53,103
A,100,100,67,41,26,60,,,,,,,,,,,,105,67,120,56,58,70,66,53,70,41,26,60
A,88,100,56,63,90,82,,,,,,,,,,,,88,56,106,84,71,90,69,66,70,63,90,82
A,85,96,46,80,79,82,,,,,,,,,,,,85,46,96,64,46,80,45,8,60,80,79,82
B,49,52,38,,,,,,,,,,,,,,,,,,,,,,,,,,
B,31,50,29,,,,,,,,,,,,,,,,,,,,,,,,,,
B,83,90,53,,,,,,,,,,,,,,,,,,,,,,,,,,
B,38,80,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,66,70,20,,,,,,,,,,,,,,,,,,,,,,,,,,
B,28,50,71,,,,,,,,,,,,,,,,,,,,,,,,,,
B,86,90,65,,,,,,,,,,,,,,,,,,,,,,,,,,
B,82,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,
B,36,60,88,,,,,,,,,,,,,,,,,,,,,,,,,,
B,97,100,54,,,,,,,,,,,,,,,,,,,,,,,,,,
B,86,90,31,,,,,,,,,,,,,,,,,,,,,,,,,,
B,71,80,49,,,,,,,,,,,,,,,,,,,,,,,,,,
B,78,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,38,30,68,,,,,,,,,,,,,,,,,,,,,,,,,,
B,88,90,39,,,,,,,,,,,,,,,,,,,,,,,,,,
B,56,70,27,,,,,,,,,,,,,,,,,,,,,,,,,,
B,55,60,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,22,30,84,,,,,,,,,,,,,,,,,,,,,,,,,,
B,89,100,94,,,,,,,,,,,,,,,,,,,,,,,,,,
B,34,50,61,,,,,,,,,,,,,,,,,,,,,,,,,,
B,69,80,70,,,,,,,,,,,,,,,,,,,,,,,,,,
B,43,60,25,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,60,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,69,90,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,96,100,34,,,,,,,,,,,,,,,,,,,,,,,,,,
B,55,80,56,,,,,,,,,,,,,,,,,,,,,,,,,,
B,76,100,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,33,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,
B,57,60,44,,,,,,,,,,,,,,,,,,,,,,,,,,
B,47,70,48,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,47,,,,,,,,,,,,,,,,,,,,,,,,,,
B,69,80,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,61,60,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,42,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,
B,39,50,74,,,,,,,,,,,,,,,,,,,,,,,,,,
B,98,100,53,,,,,,,,,,,,,,,,,,,,,,,,,,
B,66,50,43,,,,,,,,,,,,,,,,,,,,,,,,,,
B,67,80,73,,,,,,,,,,,,,,,,,,,,,,,,,,
B,72,100,51,,,,,,,,,,,,,,,,,,,,,,,,,,
B,69,100,39,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,
B,36,50,59,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,
B,92,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,
B,94,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,
B,93,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,41,50,78,,,,,,,,,,,,,,,,,,,,,,,,,,
B,26,50,64,,,,,,,,,,,,,,,,,,,,,,,,,,
B,58,60,79,,,,,,,,,,,,,,,,,,,,,,,,,,
B,90,100,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,46,60,36,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,70,60,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,100,54,,,,,,,,,,,,,,,,,,,,,,,,,,
B,57,70,51,,,,,,,,,,,,,,,,,,,,,,,,,,
B,55,60,86,,,,,,,,,,,,,,,,,,,,,,,,,,
B,48,60,87,,,,,,,,,,,,,,,,,,,,,,,,,,
B,72,100,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,39,60,21,,,,,,,,,,,,,,,,,,,,,,,,,,
B,83,100,72,,,,,,,,,,,,,,,,,,,,,,,,,,
B,44,70,53,,,,,,,,,,,,,,,,,,,,,,,,,,
B,78,80,70,,,,,,,,,,,,,,,,,,,,,,,,,,
B,45,60,44,,,,,,,,,,,,,,,,,,,,,,,,,,
B,50,80,61,,,,,,,,,,,,,,,,,,,,,,,,,,
B,32,40,73,,,,,,,,,,,,,,,,,,,,,,,,,,
B,65,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,40,50,47,,,,,,,,,,,,,,,,,,,,,,,,,,
B,38,70,57,,,,,,,,,,,,,,,,,,,,,,,,,,
B,59,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,
B,67,80,71,,,,,,,,,,,,,,,,,,,,,,,,,,
B,23,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,90,51,,,,,,,,,,,,,,,,,,,,,,,,,,
B,30,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,60,62,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,
B,56,80,68,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,70,55,,,,,,,,,,,,,,,,,,,,,,,,,,
B,94,100,77,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,80,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,43,60,77,,,,,,,,,,,,,,,,,,,,,,,,,,
B,55,70,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,53,50,68,,,,,,,,,,,,,,,,,,,,,,,,,,
B,80,80,66,,,,,,,,,,,,,,,,,,,,,,,,,,
B,72,90,39,,,,,,,,,,,,,,,,,,,,,,,,,,
B,51,70,64,,,,,,,,,,,,,,,,,,,,,,,,,,
B,81,100,46,,,,,,,,,,,,,,,,,,,,,,,,,,
B,41,50,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,72,80,57,,,,,,,,,,,,,,,,,,,,,,,,,,
B,77,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,100,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,
B,85,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,
B,62,90,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,45,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,
B,27,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,
B,85,90,76,,,,,,,,,,,,,,,,,,,,,,,,,,
B,52,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,
B,81,90,49,,,,,,,,,,,,,,,,,,,,,,,,,,
B,74,80,66,,,,,,,,,,,,,,,,,,,,,,,,,,
B,56,70,58,,,,,,,,,,,,,,,,,,,,,,,,,,
B,84,90,71,,,,,,,,,,,,,,,,,,,,,,,,,,
B,64,80,46,,,,,,,,,,,,,,,,,,,,,,,,,,
C,16,24,50,,,,,,,,,,,,,,,,,,,,,,,,,,
C,65,70,76,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,60,27,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,80,64,,,,,,,,,,,,,,,,,,,,,,,,,,
C,73,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,
C,24,50,80,,,,,,,,,,,,,,,,,,,,,,,,,,
C,78,90,54,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,80,22,,,,,,,,,,,,,,,,,,,,,,,,,,
C,69,80,93,,,,,,,,,,,,,,,,,,,,,,,,,,
C,80,80,64,,,,,,,,,,,,,,,,,,,,,,,,,,
C,56,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,
C,81,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,
C,39,20,75,,,,,,,,,,,,,,,,,,,,,,,,,,
C,68,90,57,,,,,,,,,,,,,,,,,,,,,,,,,,
C,70,90,70,,,,,,,,,,,,,,,,,,,,,,,,,,
C,22,50,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,9,30,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,65,80,53,,,,,,,,,,,,,,,,,,,,,,,,,,
C,54,80,32,,,,,,,,,,,,,,,,,,,,,,,,,,
C,51,70,36,,,,,,,,,,,,,,,,,,,,,,,,,,
C,46,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,85,90,61,,,,,,,,,,,,,,,,,,,,,,,,,,
C,53,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,
C,34,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,
C,85,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,
C,95,100,68,,,,,,,,,,,,,,,,,,,,,,,,,,
C,52,70,29,,,,,,,,,,,,,,,,,,,,,,,,,,
C,82,100,78,,,,,,,,,,,,,,,,,,,,,,,,,,
C,73,70,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,80,63,,,,,,,,,,,,,,,,,,,,,,,,,,
C,85,80,28,,,,,,,,,,,,,,,,,,,,,,,,,,
C,71,80,54,,,,,,,,,,,,,,,,,,,,,,,,,,
C,54,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,53,60,58,,,,,,,,,,,,,,,,,,,,,,,,,,
C,69,80,63,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,80,41,,,,,,,,,,,,,,,,,,,,,,,,,,
C,75,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,
C,41,50,80,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,80,45,,,,,,,,,,,,,,,,,,,,,,,,,,
C,61,80,74,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,
C,59,80,71,,,,,,,,,,,,,,,,,,,,,,,,,,
C,36,70,89,,,,,,,,,,,,,,,,,,,,,,,,,,
C,64,70,81,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,60,67,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,70,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,41,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C,86,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,70,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,
C,13,20,49,,,,,,,,,,,,,,,,,,,,,,,,,,
C,54,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,80,44,,,,,,,,,,,,,,,,,,,,,,,,,,
C,70,80,54,,,,,,,,,,,,,,,,,,,,,,,,,,
C,58,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,
C,56,70,32,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,80,89,,,,,,,,,,,,,,,,,,,,,,,,,,
C,88,100,75,,,,,,,,,,,,,,,,,,,,,,,,,,
C,50,80,84,,,,,,,,,,,,,,,,,,,,,,,,,,
C,47,70,83,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,77,100,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,96,100,23,,,,,,,,,,,,,,,,,,,,,,,,,,
C,48,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,87,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,
C,27,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,
C,88,100,23,,,,,,,,,,,,,,,,,,,,,,,,,,
C,62,80,37,,,,,,,,,,,,,,,,,,,,,,,,,,
C,83,90,48,,,,,,,,,,,,,,,,,,,,,,,,,,
C,18,50,73,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,80,58,,,,,,,,,,,,,,,,,,,,,,,,,,
C,80,90,32,,,,,,,,,,,,,,,,,,,,,,,,,,
C,69,80,83,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,50,43,,,,,,,,,,,,,,,,,,,,,,,,,,
C,39,60,37,,,,,,,,,,,,,,,,,,,,,,,,,,
C,51,50,71,,,,,,,,,,,,,,,,,,,,,,,,,,
C,64,70,78,,,,,,,,,,,,,,,,,,,,,,,,,,
C,46,60,77,,,,,,,,,,,,,,,,,,,,,,,,,,
C,57,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,
C,65,90,84,,,,,,,,,,,,,,,,,,,,,,,,,,
C,97,100,81,,,,,,,,,,,,,,,,,,,,,,,,,,
C,65,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,76,100,51,,,,,,,,,,,,,,,,,,,,,,,,,,
C,42,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,
C,55,80,68,,,,,,,,,,,,,,,,,,,,,,,,,,
C,46,60,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,96,100,52,,,,,,,,,,,,,,,,,,,,,,,,,,
C,89,100,36,,,,,,,,,,,,,,,,,,,,,,,,,,
C,60,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,
C,51,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,
C,56,60,59,,,,,,,,,,,,,,,,,,,,,,,,,,
C,64,100,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,77,100,81,,,,,,,,,,,,,,,,,,,,,,,,,,
C,94,90,53,,,,,,,,,,,,,,,,,,,,,,,,,,
C,40,60,53,,,,,,,,,,,,,,,,,,,,,,,,,,
C,32,50,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C,52,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
C,66,70,53,,,,,,,,,,,,,,,,,,,,,,,,,,
C,69,70,66,,,,,,,,,,,,,,,,,,,,,,,,,,
C,45,60,8,,,,,,,,,,,,,,,,,,,,,,,,,,
